env,condition,method,poison,delta,seed,runs,during,after,frac,first_ep,first_step,disagree,dir,scope,at_ret_frac,at_ret_first,at_ret_disagree
obstacle,no-shield,REINFORCE,clean,0.0,1,5000,3798,3784,0.7568,0.0,4.0,0.0,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_none_REINFORCE_none_d2_s1,full,,,
obstacle,shield,REINFORCE,clean,0.0,1,5000,0,0,0.0,,,0.0,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_shield_REINFORCE_none_d2_s1,full,,,
obstacle,shield,REINFORCE,clean,0.0,1,200,0,0,0.0,,,0.0,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_shield_REINFORCE_none_d2_s1_smoke,full,,,
obstacle,smooth,REINFORCE,clean,0.0,1,5000,326,675,0.135,3.0,2.0,0.006861818600898928,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_smooth_REINFORCE_none_d2_s1,full,,,
obstacle,sudden,PPO,clean,0.0,1,100000,858,2448,0.4896,2.0,3.0,0.04696333741246078,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_PPO_none_d2_s1,full,,,
obstacle,sudden,PPO,clean,0.0,2,100000,404,1178,0.2356,6.0,4.0,0.02522338458355424,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_PPO_none_d2_s2,full,,,
obstacle,sudden,PPO,clean,0.0,3,100000,511,1142,0.2284,0.0,2.0,0.012883808659980829,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_PPO_none_d2_s3,full,,,
obstacle,sudden,PPO,contrast,2.0,1,100000,835,2449,0.4898,0.0,4.0,0.047042313676439185,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_PPO_v3_d2_s1,full,,,
obstacle,sudden,PPO,contrast,2.0,2,100000,918,2439,0.4878,0.0,2.0,0.04723996748881479,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_PPO_v3_d2_s2,full,,,
obstacle,sudden,PPO,contrast,2.0,3,100000,298,1139,0.2278,5.0,4.0,0.025026445404646706,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_PPO_v3_d2_s3,full,,,
obstacle,sudden,REINFORCE,clean,0.0,1,5000,3277,3784,0.7568,0.0,4.0,0.10641200545702592,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_none_d2_s1,full,,,
obstacle,sudden,REINFORCE,clean,0.0,2,5000,1015,1127,0.2254,6.0,2.0,0.01283519101331266,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_none_d2_s2,full,,,
obstacle,sudden,REINFORCE,clean,0.0,3,5000,1981,2471,0.4942,0.0,2.0,0.04735101883890811,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_none_d2_s3,full,,,
obstacle,sudden,REINFORCE,bias,2.0,1,5000,2179,2451,0.4902,1.0,4.0,0.04717495907535096,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v1_d2_s1,full,,,
obstacle,sudden,REINFORCE,risk,2.0,1,5000,965,1181,0.2362,4.0,3.0,0.025300207039337472,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v2_d2_s1,full,,,
obstacle,sudden,REINFORCE,risk,2.0,2,5000,1935,2457,0.4914,1.0,4.0,0.047628513649378604,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v2_d2_s2,full,,,
obstacle,sudden,REINFORCE,risk,2.0,3,5000,1003,1146,0.2292,0.0,4.0,0.025037075809125012,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v2_d2_s3,full,,,
obstacle,sudden,REINFORCE,contrast,10.0,1,5000,2792,1197,0.2394,2.0,4.0,0.025375856818429847,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v3_d10_s1,full,,,
obstacle,sudden,REINFORCE,contrast,10.0,2,5000,3280,3766,0.7532,0.0,4.0,0.10538758243125544,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v3_d10_s2,full,,,
obstacle,sudden,REINFORCE,contrast,10.0,3,5000,2963,3700,0.74,0.0,4.0,0.10097738101068332,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v3_d10_s3,full,,,
obstacle,sudden,REINFORCE,contrast,2.0,1,5000,3002,3787,0.7574,1.0,4.0,0.10663070453093189,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v3_d2_s1,full,,,
obstacle,sudden,REINFORCE,contrast,2.0,2,5000,3503,3762,0.7524,0.0,4.0,0.10519978106185003,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v3_d2_s2,full,,,
obstacle,sudden,REINFORCE,contrast,2.0,2,200,0,0,0.0,,,0.0,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v3_d2_s2_smoke,full,,,
obstacle,sudden,REINFORCE,contrast,2.0,3,5000,960,2482,0.4964,1.0,3.0,0.047507277036991286,/Users/fei/PhD/Learning_controller_trilemma/carr_victim_experiment/results/obstacle_sudden_REINFORCE_v3_d2_s3,full,,,
