env,condition,method,poison,delta,seed,runs,during,after,frac,first_ep,first_step,disagree,scope,version,at_ret_frac,at_ret_first,at_ret_disagree,dir,notes,flag
obstacle,sudden,PPO,clean,0.0,1,100000,858,2448,0.4896,2.0,3.0,0.04696333741246078,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_PPO_none_d2_s1,,
obstacle,sudden,PPO,clean,0.0,2,100000,404,1178,0.2356,6.0,4.0,0.02522338458355424,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_PPO_none_d2_s2,,
obstacle,sudden,PPO,clean,0.0,3,100000,511,1142,0.2284,0.0,2.0,0.012883808659980829,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_PPO_none_d2_s3,,
obstacle,sudden,PPO,contrast,2.0,1,100000,835,2449,0.4898,0.0,4.0,0.047042313676439185,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_PPO_v3_d2_s1,,
obstacle,sudden,PPO,contrast,2.0,2,100000,918,2439,0.4878,0.0,2.0,0.04723996748881479,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_PPO_v3_d2_s2,,
obstacle,sudden,PPO,contrast,2.0,3,100000,298,1139,0.2278,5.0,4.0,0.025026445404646706,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_PPO_v3_d2_s3,,
obstacle,no-shield,REINFORCE,clean,0.0,1,5000,3798,3784,0.7568,0.0,4.0,0.0,full,vA,,,,carr_victim_experiment/results/obstacle_none_REINFORCE_none_d2_s1,,
obstacle,shield,REINFORCE,clean,0.0,1,5000,0,0,0.0,,,0.0,full,vA,,,,carr_victim_experiment/results/obstacle_shield_REINFORCE_none_d2_s1,,
obstacle,shield,REINFORCE,clean,0.0,1,200,0,0,0.0,,,0.0,full,vA,,,,carr_victim_experiment/results/obstacle_shield_REINFORCE_none_d2_s1_smoke,smoke,
obstacle,smooth,REINFORCE,clean,0.0,1,5000,326,675,0.135,3.0,2.0,0.006861818600898928,full,vA,,,,carr_victim_experiment/results/obstacle_smooth_REINFORCE_none_d2_s1,,
obstacle,sudden,REINFORCE,bias,2.0,1,5000,2179,2451,0.4902,1.0,4.0,0.04717495907535096,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_REINFORCE_v1_d2_s1,,
obstacle,sudden,REINFORCE,clean,0.0,1,5000,3277,3784,0.7568,0.0,4.0,0.10641200545702592,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_REINFORCE_none_d2_s1,,
obstacle,sudden,REINFORCE,clean,0.0,1,5000,962,1182,0.2364,0,4,,full,vC,0.216,15,0.024801524694240747,carr_victim_experiment/results/obstacle_sudden_REINFORCE_none_d2_s1,isolated(vC),
obstacle,sudden,REINFORCE,clean,0.0,1,5000,984,1140,0.228,2,2,,full,vC,0.239,0,0.013058580793439368,carr_victim_experiment/results/obstacle_sudden_REINFORCE_none_d2_s1_fixcheck,fixcheck(vC rerun of s1),
obstacle,sudden,REINFORCE,clean,0.0,2,5000,1015,1127,0.2254,6.0,2.0,0.01283519101331266,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_REINFORCE_none_d2_s2,,
obstacle,sudden,REINFORCE,clean,0.0,2,5000,951,1172,0.2344,1,4,,full,vC,0.484,0,0.04695809602836344,carr_victim_experiment/results/obstacle_sudden_REINFORCE_none_d2_s2,isolated(vC),
obstacle,sudden,REINFORCE,clean,0.0,3,5000,1981,2471,0.4942,0.0,2.0,0.04735101883890811,full,vA,,,,carr_victim_experiment/results/obstacle_sudden_REINFORCE_none_d2_s3,,
