method,run_index,left_scope,left_version,left_at_ret,right_scope,right_version,right_at_ret,abs_delta,same_code_version,exceeds_threshold
REINFORCE,1,full,vC,0.216,full,vC,0.239,0.022999999999999993,True,False
PPO,101,shield-on,vC,0.219,full,vC,0.759,0.54,True,True
PPO,102,shield-on,vC,0.739,full,vC,0.746,0.007000000000000006,True,False
PPO,103,shield-on,vC,0.737,full,vC,0.73,0.007000000000000006,True,False
PPO,104,shield-on,vC,0.728,full,vC,0.738,0.010000000000000009,True,False
PPO,105,shield-on,vC,0.738,full,vC,0.738,0.0,True,False
PPO,106,shield-on,vC,0.756,full,vC,0.75,0.006000000000000005,True,False
PPO,107,shield-on,vC,0.748,full,vC,0.758,0.010000000000000009,True,False
PPO,108,shield-on,vC,0.76,full,vC,0.759,0.0010000000000000009,True,False
PPO,109,shield-on,vC,0.76,full,vC,0.77,0.010000000000000009,True,False
PPO,110,shield-on,vC,0.738,full,vC,0.738,0.0,True,False
REINFORCE,201,shield-on,v16,0.24,full,vC,0.738,0.498,False,True
REINFORCE,202,shield-on,v16,0.752,full,vC,0.754,0.0020000000000000018,False,False
REINFORCE,203,shield-on,v16,0.744,full,vC,0.74,0.0040000000000000036,False,False
REINFORCE,204,shield-on,v16,0.72,full,vC,0.217,0.503,False,True
REINFORCE,205,shield-on,v16,0.234,full,vC,0.206,0.028000000000000025,False,False
REINFORCE,206,shield-on,v16,0.754,full,vC,0.206,0.548,False,True
REINFORCE,207,shield-on,v16,0.75,full,vC,0.752,0.0020000000000000018,False,False
REINFORCE,208,shield-on,v16,0.733,full,vC,0.733,0.0,False,False
REINFORCE,209,shield-on,v16,0.229,full,vC,0.215,0.014000000000000012,False,False
REINFORCE,210,shield-on,v16,0.741,full,vC,0.74,0.0010000000000000009,False,False
