method,scope,version,run_index,shape,clean_at_ret,poisoned_at_ret,delta,outcome,stratum,clean_disagreement
REINFORCE,full,vC,1,constant,0.216,0.233,0.017000000000000015,unchanged,sub-ceiling,0.024801524694240747
REINFORCE,full,vC,1,contrast,0.216,0.499,0.28300000000000003,positive,sub-ceiling,0.024801524694240747
REINFORCE,full,vC,1,contrast,0.216,0.501,0.28500000000000003,positive,sub-ceiling,0.024801524694240747
REINFORCE,full,vC,1,risk,0.216,0.471,0.255,positive,sub-ceiling,0.024801524694240747
REINFORCE,full,vC,2,constant,0.484,0.227,-0.257,protective,sub-ceiling,0.04695809602836344
REINFORCE,full,vC,2,contrast,0.484,0.491,0.007000000000000006,unchanged,sub-ceiling,0.04695809602836344
REINFORCE,full,vC,2,contrast,0.484,0.755,0.271,positive,sub-ceiling,0.04695809602836344
REINFORCE,full,vC,2,risk,0.484,0.496,0.01200000000000001,unchanged,sub-ceiling,0.04695809602836344
PPO,shield-on,vC,101,contrast,0.219,0.754,0.535,positive,sub-ceiling,0.012732689908069979
PPO,shield-on,vC,102,contrast,0.739,0.489,-0.25,protective,ceiling,0.10190794512916927
PPO,shield-on,vC,103,contrast,0.737,0.507,-0.22999999999999998,protective,ceiling,0.09983718432812554
PPO,shield-on,vC,104,contrast,0.728,0.494,-0.23399999999999999,protective,ceiling,0.09751176866173504
PPO,shield-on,vC,105,contrast,0.738,0.487,-0.251,protective,ceiling,0.1016031646887362
PPO,shield-on,vC,106,contrast,0.756,0.76,0.0040000000000000036,unchanged,ceiling,0.10682624113475177
PPO,shield-on,vC,107,contrast,0.748,0.757,0.009000000000000008,unchanged,ceiling,0.10300676161703352
PPO,shield-on,vC,108,contrast,0.76,0.519,-0.241,protective,ceiling,0.10580102194168921
PPO,shield-on,vC,109,contrast,0.76,0.474,-0.28600000000000003,protective,ceiling,0.10824684326876241
PPO,shield-on,vC,110,contrast,0.738,0.737,-0.0010000000000000009,unchanged,ceiling,0.10107287941390924
REINFORCE,shield-on,v16,201,contrast,0.24,0.533,0.29300000000000004,positive,sub-ceiling,0.025455680074884943
REINFORCE,shield-on,v16,202,contrast,0.752,0.749,-0.0030000000000000027,unchanged,ceiling,0.10407470907963375
REINFORCE,shield-on,v16,203,contrast,0.744,0.208,-0.536,protective,ceiling,0.10219133394794695
REINFORCE,shield-on,v16,204,contrast,0.72,0.723,0.0030000000000000027,unchanged,ceiling,0.09531926052183035
REINFORCE,shield-on,v16,205,contrast,0.234,0.744,0.51,positive,sub-ceiling,0.02536708730097288
REINFORCE,shield-on,v16,206,contrast,0.754,0.755,0.0010000000000000009,unchanged,ceiling,0.10588494276489581
REINFORCE,shield-on,v16,207,contrast,0.75,0.749,-0.0010000000000000009,unchanged,ceiling,0.10358565737051793
REINFORCE,shield-on,v16,208,contrast,0.733,0.528,-0.20499999999999996,protective,ceiling,0.099863434619324
REINFORCE,shield-on,v16,209,contrast,0.229,0.763,0.534,positive,sub-ceiling,0.012893576420227443
REINFORCE,shield-on,v16,210,contrast,0.741,0.741,0.0,unchanged,ceiling,0.10097960043537797
PPO,full,vC,101,contrast,0.759,0.746,-0.013000000000000012,unchanged,ceiling,0.10866159355416294
PPO,full,vC,102,contrast,0.746,0.74,-0.006000000000000005,unchanged,ceiling,0.1043871841476888
PPO,full,vC,103,contrast,0.73,0.5,-0.22999999999999998,protective,ceiling,0.09780290463455094
PPO,full,vC,104,contrast,0.738,0.496,-0.242,protective,ceiling,0.10088557041152978
PPO,full,vC,105,contrast,0.738,0.487,-0.251,protective,ceiling,0.10172784678370689
PPO,full,vC,106,contrast,0.75,0.465,-0.285,protective,ceiling,0.10429936305732485
PPO,full,vC,107,contrast,0.758,0.754,-0.0040000000000000036,unchanged,ceiling,0.10668404393967604
PPO,full,vC,108,contrast,0.759,0.515,-0.244,protective,ceiling,0.10555867490174059
PPO,full,vC,109,contrast,0.77,0.48,-0.29000000000000004,protective,ceiling,0.11061809123462557
PPO,full,vC,110,contrast,0.738,0.463,-0.27499999999999997,protective,ceiling,0.10094801541827274
REINFORCE,full,vC,201,contrast,0.738,0.74,0.0020000000000000018,unchanged,ceiling,0.10097923466907424
REINFORCE,full,vC,202,contrast,0.754,0.753,-0.0010000000000000009,unchanged,ceiling,0.10473531464678006
REINFORCE,full,vC,203,contrast,0.74,0.737,-0.0030000000000000027,unchanged,ceiling,0.10139860139860139
REINFORCE,full,vC,204,contrast,0.217,0.728,0.511,positive,sub-ceiling,0.024769992922859165
