mechanism,seed,batches,batch_steps,adaptation_steps,reward_poison_budget,max_reward_poison,attack_target_gain,attack_target_bias,adaptation_constraint_violations,actor_updates,action_filter_interventions,rejected_action_steps,mean_true_reward,mean_logged_reward,mean_gradient_norm,pending_gain,pending_bias,final_gain,final_bias,commit_projection_norm,certificate_candidates,certificate_admitted,deployment_rollouts,violating_rollouts,deployment_violation_rate,median_first_violation_step,mean_deployment_reward
clean_a2c_snapshot,2200,12,8,96,2.0,0.0,18.0,-5.0,0,12,96,0,-0.549034640118828,-0.549034640118828,0.47636497113857934,3.2766398755335713,-1.7505129148385283,3.2766398755335713,-1.7505129148385283,0.0,0,0,42,1,0.023809523809523808,13.0,-0.29878584221938975
poisoned_action_only_snapshot,2200,12,8,96,2.0,1.9999999815418454,18.0,-5.0,0,12,96,0,-0.7889651229048743,-0.6818920339058687,0.5123532924645535,-1.8849482428852755,-5.0,-1.8849482428852755,-5.0,0.0,0,0,42,13,0.30952380952380953,10.0,-1.387193950737298
poisoned_always_freeze_snapshot,2200,12,8,96,2.0,1.999999999990065,18.0,-5.0,0,0,96,0,-0.4870548385558047,-0.30814051202520315,0.5684269882284486,0.0,0.0,0.0,0.0,0.0,0,0,42,0,0.0,,-0.16796307115550488
poisoned_commit_gate_snapshot,2200,12,8,96,2.0,1.9999999815418454,18.0,-5.0,0,12,96,0,-0.7889651229048743,-0.6818920339058687,0.5123532924645535,-1.8849482428852755,-5.0,-0.09424741214426378,-0.25,5.076328344898165,160,150,42,0,0.0,,-0.1528711287384119
clean_a2c_snapshot,2201,12,8,96,2.0,0.0,18.0,-5.0,0,12,96,0,-0.4946067765651552,-0.4946067765651552,0.36738338624045314,4.388270541000859,0.2154761462713109,4.388270541000859,0.2154761462713109,0.0,0,0,42,0,0.0,,-0.15516038660381296
poisoned_action_only_snapshot,2201,12,8,96,2.0,1.9999860404026906,18.0,-5.0,0,12,96,0,-0.5938571499464368,-0.6768572352757573,0.4162291134293039,-3.6687473183475947,-4.593100865813963,-3.6687473183475947,-4.593100865813963,0.0,0,0,42,13,0.30952380952380953,10.0,-1.204049005432212
poisoned_always_freeze_snapshot,2201,12,8,96,2.0,1.999999963854157,18.0,-5.0,0,0,96,0,-0.4684812994178083,-0.5285320749200978,0.4788808331577307,0.0,0.0,0.0,0.0,0.0,0,0,42,0,0.0,,-0.16796307115550488
poisoned_commit_gate_snapshot,2201,12,8,96,2.0,1.9999860404026906,18.0,-5.0,0,12,96,0,-0.5938571499464368,-0.6768572352757573,0.4162291134293039,-3.6687473183475947,-4.593100865813963,-0.18343736591737975,-0.2296550432906982,5.584536230575001,160,150,42,0,0.0,,-0.1523690340929031
clean_a2c_snapshot,2202,12,8,96,2.0,0.0,18.0,-5.0,0,12,96,0,-0.5551796174609849,-0.5551796174609849,0.3517092504576876,-3.304750568326986,-1.007314092990874,-3.304750568326986,-1.007314092990874,0.0,0,0,42,1,0.023809523809523808,14.0,-0.200074644906091
poisoned_action_only_snapshot,2202,12,8,96,2.0,1.9999864728096055,18.0,-5.0,0,12,96,0,-0.6835412471890896,-0.7499607881786293,0.4818690961180713,-3.7310034611401686,-5.0,-3.7310034611401686,-5.0,0.0,0,0,42,14,0.3333333333333333,10.0,-1.3999770423799898
poisoned_always_freeze_snapshot,2202,12,8,96,2.0,1.9999999998645952,18.0,-5.0,0,0,96,0,-0.657791742140239,-0.7791489887986577,0.529058944838325,0.0,0.0,0.0,0.0,0.0,0,0,42,0,0.0,,-0.16796307115550488
poisoned_commit_gate_snapshot,2202,12,8,96,2.0,1.9999864728096055,18.0,-5.0,0,12,96,0,-0.6835412471890896,-0.7499607881786293,0.4818690961180713,-3.7310034611401686,-5.0,-0.18655017305700844,-0.25,5.926689557535768,160,150,42,0,0.0,,-0.15284686098061534
