learner_seed,batch,candidate_reward_vectors,unique_next_snapshots,attack_scoring_states,selected_candidate_index,selected_max_absolute_edit,selected_edit_l2_norm,changed_reward_steps,logged_reward_min,logged_reward_max,logged_reward_mean,positive_logged_rewards,scalar_lower_violation,scalar_upper_violation,batch_mean_lower_violation,batch_mean_upper_violation,reward_budget_violation,public_short_accepted,public_long_violations,public_worst_long_margin,public_early_violation_score,selected_next_gain,selected_next_bias,selection_latency_ms,learner_reward_delta_error,learner_raw_gradient_error,learner_next_parameter_error,all_invariants_pass
2070,0,1027,1027,14,124,2.0,5.218844639527799,8,-5.888655463318784,-0.016034420380593106,-2.3900065115656055,0,0.0,0.0,0.0,0.0,0.0,14,1,0.01759492298232468,105,-2.6286039967299226,0.774750310096734,38656.61580860615,0.0,0.0,0.0,True
2070,1,1027,1027,14,187,2.0,3.750414414877954,8,-3.4695979532408083,-0.016034420380592884,-0.8337045110860383,0,0.0,9.71445146547012e-17,0.0,0.0,0.0,14,2,0.01084257936694999,207,-4.696615218920308,-0.13570736788494187,38750.78971963376,0.0,0.0,0.0,True
2070,2,1027,1027,14,254,2.0,2.43406394261577,8,-2.4859353642128954,-0.016034420380592995,-0.3247720383596308,0,0.0,0.0,0.0,0.0,0.0,14,2,0.02208266129353173,207,-5.561348757622532,-0.3943745926818769,39485.151204280555,0.0,0.0,0.0,True
2070,3,1027,1027,14,214,2.0,3.611738862907709,8,-2.8125758641862895,-0.016034420380592995,-0.9330530965427487,0,0.0,0.0,0.0,0.0,0.0,14,2,0.030860941685021515,206,-6.2872890353240845,-0.5723129677940327,38825.09763073176,0.0,0.0,0.0,True
2070,4,1027,1027,14,31,2.0,3.524058338575654,8,-2.3666010520769394,-0.016034420380592967,-0.868905679946091,0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,14,2,0.037864395822590546,206,-6.923619142011233,-0.6905011708131836,39849.68323353678,0.0,0.0,0.0,True
2070,5,1027,1027,14,365,1.4421584592728478,2.582617644528193,8,-1.6369269013866545,-0.047296025287237475,-0.8649415592670375,0,0.0,0.0,0.0,0.0,0.0,14,2,0.03881402490616745,207,-7.022778350199921,-0.703259903225605,39704.70560528338,0.0,0.0,0.0,True
2070,6,1027,1027,14,108,2.0,4.027251680623409,8,-2.2208205957053213,-0.01603442038059298,-1.0897039171241087,0,0.0,0.0,0.0,0.0,0.0,14,2,0.0398264078943818,206,-7.09761363140142,-0.7235060876517915,39377.29852180928,0.0,0.0,0.0,True
2070,7,1027,1027,14,248,2.0,3.47169494736027,8,-2.147417315130257,-0.01603442038059298,-0.7907159578242253,0,0.0,0.0,0.0,0.0,0.0,14,2,0.03980074027389985,207,-7.125237899905537,-0.7165298344526785,39693.3168200776,0.0,0.0,0.0,True
2070,8,1027,1027,14,653,1.8863133904289564,3.329663312225414,8,-1.929702136654847,-0.050613230607024356,-1.0706957307622555,0,0.0,0.0,0.0,0.0,0.0,14,2,0.04023026679548164,206,-7.124432104948305,-0.7322168640818768,40203.19493860006,0.0,0.0,0.0,True
2070,9,1027,1027,14,190,2.0,2.867487053448549,8,-2.133732086486109,-0.01603442038059298,-0.5334203756148239,0,0.0,0.0,0.0,0.0,0.0,14,2,0.03892737573305591,207,-7.176801408968762,-0.6737764043286474,40073.57211410999,0.0,0.0,0.0,True
2070,10,1027,1027,14,254,2.0,2.005269018554368,8,-2.037994417101602,-0.01603442038059298,-0.2687794199707191,0,0.0,0.0,0.0,0.0,0.0,14,2,0.02322337946674577,208,-7.425599236572647,-0.05803626454937272,39200.29937848449,0.0,0.0,0.0,True
2070,11,1027,1027,14,62,2.0,3.4647842756990066,8,-2.223791431682916,-0.01603442038059298,-0.7966127706160679,0,0.0,0.0,0.0,0.0,0.0,14,2,0.04097637098728166,207,-7.246883466659447,-0.732287498208707,40148.01417570561,0.0,0.0,0.0,True
