learner_seed,evaluation_seed,monitor_horizon,selected_index,admitted_index,poison_initially_accepted,clean_initially_accepted,clean_first_violation_step,poison_first_violation_step,resident_first_violation_step,resident_switch_step,switch_lead_steps,resident_baseline_steps,poison_reverse_max_margin
2070,9070,1,0,0,True,True,,,,,,0,-0.13706295096256313
2070,9070,1,1,1,True,True,,,,,,0,-0.1412900869773997
2070,9070,1,2,2,True,True,,,,,,0,-0.08998041055688391
2070,9070,1,3,4,True,True,,10,,10,0,46,-0.1163371000767766
2070,9070,1,4,5,True,True,,11,11,11,0,64,-0.07053825106744088
2070,9070,1,5,6,True,True,,,,,,0,-0.15916489341321613
2070,9070,1,6,8,True,True,,9,,9,0,67,-0.1060843138379363
2070,9070,1,7,9,True,True,,7,,7,0,66,-0.11469203067348431
2070,9070,1,8,10,True,True,,5,,5,0,42,-0.07594718451527416
2070,9070,1,9,12,True,True,,10,10,10,0,44,-0.09696320667582604
2070,9070,1,10,13,True,True,,11,11,11,0,77,-0.0947104047539696
2070,9070,1,11,14,True,True,,9,,9,0,82,-0.1507096165877748
2070,9070,1,12,16,True,True,,,,,,0,-0.09318305936179742
2070,9070,1,13,17,True,True,,,,,,0,-0.055849983166672945
2070,9070,1,14,18,True,True,,8,,8,0,94,-0.11703774222473093
2070,9070,1,15,20,True,True,,,,,,0,-0.10079080449186559
2070,9070,1,16,21,True,True,,,,,,0,-0.13411915003264557
2070,9070,1,17,22,True,True,,,,,,0,-0.09289078776496167
2070,9070,1,18,24,True,True,,9,9,9,0,88,-0.18197462587729463
2070,9070,1,19,25,True,True,,6,6,6,0,41,-0.11662311914487947
2070,9070,1,20,26,True,True,,,,,,0,-0.14535702018150076
2070,9070,1,21,28,True,True,,,,,,0,-0.15617293258577272
2070,9070,1,22,29,True,True,,,,,,0,-0.08724196830398784
2070,9070,1,23,31,True,True,,,,,,0,-0.19096836361820765
2070,9070,3,0,0,True,True,,,,,,0,-0.13706295096256313
2070,9070,3,1,1,True,True,,,,,,0,-0.1412900869773997
2070,9070,3,2,2,True,True,,,,,,0,-0.08998041055688391
2070,9070,3,3,4,True,True,,10,,8,2,66,-0.1163371000767766
2070,9070,3,4,5,True,True,,11,,8,3,67,-0.07053825106744088
2070,9070,3,5,6,True,True,,,,,,0,-0.14339564637228389
2070,9070,3,6,8,True,True,,9,,7,2,48,-0.1060843138379363
2070,9070,3,7,9,True,True,,7,,5,2,48,-0.10367998326153596
2070,9070,3,8,10,True,True,,5,,3,2,59,-0.05527819002654527
2070,9070,3,9,12,True,True,,10,,8,2,69,-0.09587110421485046
2070,9070,3,10,13,True,True,,11,,9,2,44,-0.0947104047539696
2070,9070,3,11,14,True,True,,9,,7,2,40,-0.1507096165877748
2070,9070,3,12,16,True,True,,,,,,0,-0.08137004967103974
2070,9070,3,13,17,True,True,,,,,,0,-0.04907104705846607
2070,9070,3,14,18,True,True,,8,,6,2,84,-0.09729684043997888
2070,9070,3,15,20,True,True,,,,,,0,-0.09786317173072123
2070,9070,3,16,21,True,True,,,,,,0,-0.13411915003264557
2070,9070,3,17,22,True,True,,,,,,0,-0.09289078776496167
2070,9070,3,18,24,True,True,,9,,7,2,68,-0.14318438186914179
2070,9070,3,19,25,True,True,,6,,4,2,65,-0.09379493822315095
2070,9070,3,20,26,True,True,,,,,,0,-0.12982068162306878
2070,9070,3,21,28,True,True,,,,,,0,-0.15617293258577272
2070,9070,3,22,29,True,True,,,,,,0,-0.0807247863024039
2070,9070,3,23,31,True,True,,,,,,0,-0.1588363794524897
2070,9070,5,0,0,True,True,,,,,,0,-0.13706295096256313
2070,9070,5,1,1,True,True,,,,,,0,-0.1412900869773997
2070,9070,5,2,2,True,True,,,,,,0,-0.08998041055688391
2070,9070,5,3,4,True,True,,10,,6,4,84,-0.1163371000767766
2070,9070,5,4,5,True,True,,11,,6,5,85,-0.07053825106744088
2070,9070,5,5,6,True,True,,,,,,0,-0.11570106553642674
2070,9070,5,6,8,True,True,,9,,5,4,73,-0.1060843138379363
2070,9070,5,7,9,True,True,,7,,3,4,74,-0.059499686753335806
2070,9070,5,8,10,True,True,,5,,1,4,82,-0.015206438284312396
2070,9070,5,9,12,True,True,,10,,6,4,87,-0.09587110421485046
2070,9070,5,10,13,True,True,,11,,7,4,66,-0.0947104047539696
2070,9070,5,11,14,True,True,,9,,5,4,55,-0.12177746565358603
2070,9070,5,12,16,True,True,,,,,,0,-0.07260765314512155
2070,9070,5,13,17,True,True,,,,,,0,-0.04907104705846607
