scope,monitor_horizon,learner_seeds,selected_states,poison_initially_accepted,clean_release_violations,poisoned_release_violations,resident_violations,seeds_with_poisoned_release_failure,poison_only_discordant,clean_only_discordant,paired_failures_with_timely_switch,paired_release_failures,resident_switches,min_switch_lead_steps,median_switch_lead_steps,max_switch_lead_steps,horizon_condition_pass
2070,1,1,24,24,0,11,5,1,11,0,11,11,11,0,0.0,0,False
2070,3,1,24,24,0,11,0,1,11,0,11,11,11,2,2.0,3,False
2070,5,1,24,24,0,11,0,1,11,0,11,11,11,4,4.0,5,False
2070,10,1,24,17,0,4,0,1,4,0,4,4,4,9,9.0,9,False
2070,20,1,24,13,0,0,0,0,0,0,0,0,0,,,,False
2071,1,1,24,24,0,5,4,1,5,0,5,5,5,0,0.0,0,False
2071,3,1,24,24,0,5,0,1,5,0,5,5,5,2,2.0,2,False
2071,5,1,24,24,0,5,0,1,5,0,5,5,5,4,4.0,4,False
2071,10,1,24,19,0,0,0,0,0,0,0,0,0,,,,False
2071,20,1,24,19,0,0,0,0,0,0,0,0,0,,,,False
2072,1,1,24,24,2,7,3,1,5,0,7,7,7,0,0.0,0,False
2072,3,1,24,24,2,7,0,1,5,0,7,7,7,2,2.0,2,False
2072,5,1,24,24,2,7,0,1,5,0,7,7,7,4,4.0,4,False
2072,10,1,24,21,0,4,0,1,4,0,4,4,4,9,9.0,9,False
2072,20,1,24,17,0,0,0,0,0,0,0,0,0,,,,False
pooled,1,3,72,72,2,23,12,3,21,0,23,23,23,0,0.0,0,False
pooled,3,3,72,72,2,23,0,3,21,0,23,23,23,2,2.0,3,True
pooled,5,3,72,72,2,23,0,3,21,0,23,23,23,4,4.0,5,True
pooled,10,3,72,57,0,8,0,2,8,0,8,8,8,9,9.0,9,True
pooled,20,3,72,49,0,0,0,0,0,0,0,0,0,,,,False
