seed,rho,mechanism,first_violation_step,mean_reward
2210,0.005,clean,,-0.618380834006832
2210,0.005,clean,,-0.42747140434583636
2210,0.005,clean,,-0.2897285441590299
2210,0.005,clean,,-0.11641851211929397
2210,0.005,clean,,-0.0475564667918004
2210,0.005,clean,,-0.05159280595204098
2210,0.005,clean,,-0.08112982954572426
2210,0.005,clean,,-0.45507195749952806
2210,0.005,clean,,-0.3096425294734594
2210,0.005,clean,,-0.20368394020384162
2210,0.005,clean,,-0.0739035416599896
2210,0.005,clean,,-0.045621980919521965
2210,0.005,clean,,-0.06941381332745257
2210,0.005,clean,,-0.11839409538941652
2210,0.005,clean,,-0.3324242581050527
2210,0.005,clean,,-0.2200610676325405
2210,0.005,clean,,-0.13779630660623987
2210,0.005,clean,,-0.0486610669380403
2210,0.005,clean,,-0.06007024572128656
2210,0.005,clean,,-0.10342616036273838
2210,0.005,clean,,-0.17175971786496644
2210,0.005,clean,,-0.16808675763222292
2210,0.005,clean,,-0.10056730113898106
2210,0.005,clean,,-0.057981881234507086
2210,0.005,clean,,-0.0479560571588771
2210,0.005,clean,,-0.13853785535878801
2210,0.005,clean,,-0.22052229157254277
2210,0.005,clean,,-0.33302477567674216
2210,0.005,clean,,-0.11405013502163056
2210,0.005,clean,,-0.0659059751375087
2210,0.005,clean,,-0.042857597706998526
2210,0.005,clean,,-0.07251471639816567
2210,0.005,clean,,-0.20309116734674212
2210,0.005,clean,,-0.3095428087202778
2210,0.005,clean,,-0.4556381795418538
2210,0.005,clean,,-0.07619004690102221
2210,0.005,clean,,-0.04745508130181634
2210,0.005,clean,,-0.04414335404522584
2210,0.005,clean,,-0.11438974227709296
2210,0.005,clean,,-0.28889460061272954
2210,0.005,clean,,-0.4274099289822045
2210,0.005,clean,14,-0.6197665071704265
2210,0.005,poison,5,-1.6610587286274936
2210,0.005,poison,11,-1.4307600794309043
2210,0.005,poison,11,-1.2655677249171224
2210,0.005,poison,,-1.0563719185806622
2210,0.005,poison,,-0.9472545330199166
2210,0.005,poison,,-0.9333648281721881
2210,0.005,poison,,-0.9460897453710876
2210,0.005,poison,10,-1.4757493814171687
2210,0.005,poison,11,-1.3022311314134376
2210,0.005,poison,12,-1.176342521618788
2210,0.005,poison,,-1.0109520856072787
2210,0.005,poison,,-0.9444729056816776
2210,0.005,poison,,-0.9511039195650748
2210,0.005,poison,,-0.9839017955751781
2210,0.005,poison,10,-1.3413532762031422
2210,0.005,poison,10,-1.2069685090173237
2210,0.005,poison,12,-1.1085351264983772
2210,0.005,poison,,-0.9843757299849294
2210,0.005,poison,,-0.9592566249165839
2210,0.005,poison,,-0.9860747663939409
2210,0.005,poison,,-1.038803515040743
2210,0.005,poison,9,-1.1753202452895646
2210,0.005,poison,11,-1.0930628611884252
2210,0.005,poison,,-1.0339708194750492
2210,0.005,poison,,-0.9846793034261838
2210,0.005,poison,,-1.0412364304880306
2210,0.005,poison,,-1.1087562944749905
2210,0.005,poison,,-1.2022186890125857
2210,0.005,poison,9,-1.124051772963567
2210,0.005,poison,,-1.0638584047396447
2210,0.005,poison,,-1.0194165123400005
2210,0.005,poison,,-1.0111723942874589
2210,0.005,poison,,-1.1093933367718003
2210,0.005,poison,,-1.1980931084075574
2210,0.005,poison,,-1.3157677249835875
2210,0.005,poison,8,-1.0962976798665296
2210,0.005,poison,,-1.0461766181918193
2210,0.005,poison,,-1.022213047503493
2210,0.005,poison,,-1.0557143233091095
2210,0.005,poison,,-1.1970713985308359
2210,0.005,poison,,-1.3079746133926344
2210,0.005,poison,,-1.4646787207651462
2210,0.005,freeze,,-0.580621654876358
2210,0.005,freeze,,-0.4089667761193023
2210,0.005,freeze,,-0.27761638233049174
2210,0.005,freeze,,-0.09714507255813115
2210,0.005,freeze,,-0.029004470859259945
2210,0.005,freeze,,-0.019579359718076454
2210,0.005,freeze,,-0.05526099984633106
2210,0.005,freeze,,-0.43474650706774914
2210,0.005,freeze,,-0.2976366617016786
2210,0.005,freeze,,-0.19076514485397889
2210,0.005,freeze,,-0.04777628610288465
2210,0.005,freeze,,-0.011477908227665198
2210,0.005,freeze,,-0.04152685790859659
2210,0.005,freeze,,-0.09895583843183406
2210,0.005,freeze,,-0.3202916172703
2210,0.005,freeze,,-0.2084567977983909
2210,0.005,freeze,,-0.1225844265783481
2210,0.005,freeze,,-0.015193583816603292
2210,0.005,freeze,,-0.03005676123883619
2210,0.005,freeze,,-0.08233636665886093
2210,0.005,freeze,,-0.15722502030192512
2210,0.005,freeze,,-0.15722502030192512
2210,0.005,freeze,,-0.08233636665886093
2210,0.005,freeze,,-0.03005676123883619
2210,0.005,freeze,,-0.015193583816603292
2210,0.005,freeze,,-0.1225844265783481
2210,0.005,freeze,,-0.2084567977983909
2210,0.005,freeze,,-0.3202916172703
2210,0.005,freeze,,-0.09895583843183406
2210,0.005,freeze,,-0.04152685790859659
2210,0.005,freeze,,-0.011477908227665198
2210,0.005,freeze,,-0.04777628610288465
2210,0.005,freeze,,-0.19076514485397889
2210,0.005,freeze,,-0.2976366617016786
2210,0.005,freeze,,-0.43474650706774914
2210,0.005,freeze,,-0.05526099984633106
2210,0.005,freeze,,-0.019579359718076454
2210,0.005,freeze,,-0.029004470859259945
2210,0.005,freeze,,-0.09714507255813115
2210,0.005,freeze,,-0.27761638233049174
2210,0.005,freeze,,-0.4089667761193023
2210,0.005,freeze,,-0.580621654876358
2210,0.005,commit,,-0.5819153480461182
2210,0.005,commit,,-0.3900493198256033
2210,0.005,commit,,-0.25163795130692435
2210,0.005,commit,,-0.07744146266058444
2210,0.005,commit,,-0.03872849191637153
2210,0.005,commit,,-0.011588573839176676
2210,0.005,commit,,-0.0407091769694155
2210,0.005,commit,,-0.41815951792421935
2210,0.005,commit,,-0.27214076882742244
2210,0.005,commit,,-0.16575762287276435
2210,0.005,commit,,-0.03532443531439649
2210,0.005,commit,,-0.00641314230143093
2210,0.005,commit,,-0.02984956687153082
2210,0.005,commit,,-0.07840993882971334
2210,0.005,commit,,-0.2952562249809294
2210,0.005,commit,,-0.18258426665545677
2210,0.005,commit,,-0.1002633212548849
2210,0.005,commit,,-0.010507945033167003
2210,0.005,commit,,-0.021318742268503884
2210,0.005,commit,,-0.06432091854613535
2210,0.005,commit,,-0.13228957684014084
2210,0.005,commit,,-0.1319804154267084
2210,0.005,commit,,-0.0641098402737875
2210,0.005,commit,,-0.021228246399911395
2210,0.005,commit,,-0.010691946255680557
2210,0.005,commit,,-0.10071133298673095
2210,0.005,commit,,-0.18341210080545142
2210,0.005,commit,,-0.2964293601787773
2210,0.005,commit,,-0.07826227187287889
2210,0.005,commit,,-0.029808913794736585
2210,0.005,commit,,-0.0064992201566039425
2210,0.005,commit,,-0.0356896850389891
2210,0.005,commit,,-0.1664080917058704
2210,0.005,commit,,-0.2731005851620004
2210,0.005,commit,,-0.41939340578314344
2210,0.005,commit,,-0.040718533715537616
2210,0.005,commit,,-0.011713314651651052
2210,0.005,commit,,-0.008171310294930921
2210,0.005,commit,,-0.0779821804430392
2210,0.005,commit,,-0.252626997574932
2210,0.005,commit,,-0.39130986121573574
2210,0.005,commit,,-0.5833424620565181
2210,0.02,clean,,-0.6253715143359265
2210,0.02,clean,,-0.43475679984092896
2210,0.02,clean,,-0.2972898210282185
2210,0.02,clean,,-0.12440271716132997
2210,0.02,clean,,-0.05586194985200119
2210,0.02,clean,,-0.06006985171247969
2210,0.02,clean,,-0.0897896890066137
2210,0.02,clean,,-0.4622286979909578
2210,0.02,clean,,-0.31705195458686936
2210,0.02,clean,,-0.2113313883188571
2210,0.02,clean,,-0.08185396448895664
2210,0.02,clean,,-0.05389195278392802
2210,0.02,clean,,-0.07785586336335412
2210,0.02,clean,,-0.1270208434693753
2210,0.02,clean,,-0.3396836042173922
2210,0.02,clean,,-0.22753219153003004
2210,0.02,clean,,-0.14541470909793203
2210,0.02,clean,,-0.056578918347719824
2210,0.02,clean,,-0.06830716577939663
2210,0.02,clean,,-0.1118368298005545
2210,0.02,clean,,-0.18016977918497348
2210,0.02,clean,,-0.17536907893658402
2210,0.02,clean,,-0.10799198237440559
2210,0.02,clean,,-0.06554962945820231
2210,0.02,clean,,-0.05581926934715194
2210,0.02,clean,,-0.14672618670456955
2210,0.02,clean,,-0.22876496441880778
2210,0.02,clean,,-0.3413669162298207
2210,0.02,clean,,-0.1213165519287741
2210,0.02,clean,,-0.07331270589144114
2210,0.02,clean,,-0.05040613324004241
2210,0.02,clean,,-0.08035976409861283
2210,0.02,clean,,-0.2111670285712389
2210,0.02,clean,,-0.3177253398134069
2210,0.02,clean,,-0.46398918929023686
2210,0.02,clean,,-0.08344476238726543
2210,0.02,clean,,-0.05484880937313242
2210,0.02,clean,,-0.05167866308640536
2210,0.02,clean,,-0.12222585413074429
2210,0.02,clean,,-0.297008468805654
2210,0.02,clean,,-0.43568789236040156
2210,0.02,clean,14,-0.6283019359684029
2210,0.02,poison,5,-1.6217189911142982
2210,0.02,poison,11,-1.4050787098651607
2210,0.02,poison,11,-1.2504755773329814
2210,0.02,poison,,-1.0572735688444996
2210,0.02,poison,,-0.958685790508169
2210,0.02,poison,,-0.949341214096653
2210,0.02,poison,,-0.9662523147830323
2210,0.02,poison,10,-1.445712941645761
2210,0.02,poison,11,-1.28306950656791
2210,0.02,poison,12,-1.1650244530068254
2210,0.02,poison,,-1.0136159225638681
2210,0.02,poison,,-0.9568993404984586
2210,0.02,poison,,-0.967842269694248
2210,0.02,poison,,-1.004621894418012
2210,0.02,poison,10,-1.3169503689767126
2210,0.02,poison,11,-1.1915275911950938
2210,0.02,poison,13,-1.1005600566430416
2210,0.02,poison,,-0.9881033986213932
2210,0.02,poison,,-0.9722630116991534
2210,0.02,poison,,-1.0031965827357647
2210,0.02,poison,,-1.0597309706134317
2210,0.02,poison,9,-1.158087210799845
2210,0.02,poison,12,-1.0821987926255763
2210,0.02,poison,,-1.0284998042787172
2210,0.02,poison,,-0.9892015180965428
2210,0.02,poison,,-1.0542872135069998
2210,0.02,poison,,-1.1256009916140504
2210,0.02,poison,,-1.2225665077040386
2210,0.02,poison,9,-1.1082143406501708
2210,0.02,poison,,-1.0531396832657312
2210,0.02,poison,,-1.0141331214151657
2210,0.02,poison,,-1.0155066926773704
2210,0.02,poison,,-1.1219500494453136
2210,0.02,poison,,-1.2143009908394844
2210,0.02,poison,,-1.3360196757429408
2210,0.02,poison,8,-1.0810186249000195
2210,0.02,poison,,-1.0354338431429135
2210,0.02,poison,,-1.016712638571573
2210,0.02,poison,,-1.0595078046553998
2210,0.02,poison,,-1.2088026607367843
2210,0.02,poison,,-1.323214021625619
2210,0.02,poison,,-1.4849462871624326
2210,0.02,freeze,,-0.580621654876358
2210,0.02,freeze,,-0.4089667761193023
2210,0.02,freeze,,-0.27761638233049174
2210,0.02,freeze,,-0.09714507255813115
2210,0.02,freeze,,-0.029004470859259945
2210,0.02,freeze,,-0.019579359718076454
2210,0.02,freeze,,-0.05526099984633106
2210,0.02,freeze,,-0.43474650706774914
2210,0.02,freeze,,-0.2976366617016786
2210,0.02,freeze,,-0.19076514485397889
2210,0.02,freeze,,-0.04777628610288465
2210,0.02,freeze,,-0.011477908227665198
2210,0.02,freeze,,-0.04152685790859659
2210,0.02,freeze,,-0.09895583843183406
2210,0.02,freeze,,-0.3202916172703
2210,0.02,freeze,,-0.2084567977983909
2210,0.02,freeze,,-0.1225844265783481
2210,0.02,freeze,,-0.015193583816603292
2210,0.02,freeze,,-0.03005676123883619
2210,0.02,freeze,,-0.08233636665886093
2210,0.02,freeze,,-0.15722502030192512
2210,0.02,freeze,,-0.15722502030192512
2210,0.02,freeze,,-0.08233636665886093
2210,0.02,freeze,,-0.03005676123883619
2210,0.02,freeze,,-0.015193583816603292
2210,0.02,freeze,,-0.1225844265783481
2210,0.02,freeze,,-0.2084567977983909
2210,0.02,freeze,,-0.3202916172703
2210,0.02,freeze,,-0.09895583843183406
2210,0.02,freeze,,-0.04152685790859659
2210,0.02,freeze,,-0.011477908227665198
2210,0.02,freeze,,-0.04777628610288465
2210,0.02,freeze,,-0.19076514485397889
2210,0.02,freeze,,-0.2976366617016786
2210,0.02,freeze,,-0.43474650706774914
2210,0.02,freeze,,-0.05526099984633106
2210,0.02,freeze,,-0.019579359718076454
2210,0.02,freeze,,-0.029004470859259945
2210,0.02,freeze,,-0.09714507255813115
2210,0.02,freeze,,-0.27761638233049174
2210,0.02,freeze,,-0.4089667761193023
2210,0.02,freeze,,-0.580621654876358
2210,0.02,commit,,-0.5819429065431162
2210,0.02,commit,,-0.3900770352466355
2210,0.02,commit,,-0.25166829107292377
2210,0.02,commit,,-0.07747798759856464
2210,0.02,commit,,-0.03887954727707126
2210,0.02,commit,,-0.011640925208229206
2210,0.02,commit,,-0.04077189820429576
2210,0.02,commit,,-0.41818251552533214
2210,0.02,commit,,-0.27216494684498566
2210,0.02,commit,,-0.16577841647576114
2210,0.02,commit,,-0.035355897587394054
2210,0.02,commit,,-0.00645823196401675
2210,0.02,commit,,-0.029905443593777892
2210,0.02,commit,,-0.07847906606168964
2210,0.02,commit,,-0.2952678633800046
2210,0.02,commit,,-0.1825989739745294
2210,0.02,commit,,-0.10028312323134729
2210,0.02,commit,,-0.01053667244895797
2210,0.02,commit,,-0.021366993471038046
2210,0.02,commit,,-0.06438289772425522
2210,0.02,commit,,-0.1323676394132067
2210,0.02,commit,,-0.13197957167420746
2210,0.02,commit,,-0.06411315548881373
2210,0.02,commit,,-0.02123797757925602
2210,0.02,commit,,-0.010722356309488892
2210,0.02,commit,,-0.10077324621471692
2210,0.02,commit,,-0.1834928893354843
2210,0.02,commit,,-0.29653300657002435
2210,0.02,commit,,-0.0782541361563353
2210,0.02,commit,,-0.029807728428969386
2210,0.02,commit,,-0.006507406787546096
2210,0.02,commit,,-0.0357246464171647
2210,0.02,commit,,-0.16648037561029158
2210,0.02,commit,,-0.27319574589894663
2210,0.02,commit,,-0.41951627854628576
2210,0.02,commit,,-0.040705489139553803
2210,0.02,commit,,-0.011710162197237356
2210,0.02,commit,,-0.0081805715764951
2210,0.02,commit,,-0.0780242919891263
2210,0.02,commit,,-0.25271203455703906
2210,0.02,commit,,-0.39142260660561745
2210,0.02,commit,,-0.5834883026469361
2210,0.04,clean,,-0.6206174238860332
2210,0.04,clean,,-0.4300104221172883
2210,0.04,clean,,-0.2925599793062019
2210,0.04,clean,,-0.11974239932171221
2210,0.04,clean,,-0.05130316165080339
2210,0.04,clean,,-0.055558605473745706
2210,0.04,clean,,-0.08532300702670956
2210,0.04,clean,,-0.45745838155721313
2210,0.04,clean,,-0.3122940740575693
2210,0.04,clean,,-0.2065889112554439
2210,0.04,clean,,-0.07721017116809324
2210,0.04,clean,,-0.04934299470211836
2210,0.04,clean,,-0.07335069898181912
2210,0.04,clean,,-0.12255643706868341
2210,0.04,clean,,-0.3349033719326531
2210,0.04,clean,,-0.22276726869569938
2210,0.04,clean,,-0.14069578505498395
2210,0.04,clean,,-0.05195355019268281
2210,0.04,clean,,-0.06376986555713964
2210,0.04,clean,,-0.10733975482402719
2210,0.04,clean,,-0.17579752802170828
2210,0.04,clean,,-0.17062062070421904
