contract,state_index,initial_reverse_switch_accepted,reverse_switch_horizon,init_x,init_x_dot,init_theta,init_theta_dot,casadi_full_first_violation_step,physical_steps,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
permanent_release,0,True,5,0.0,0.0,-0.15,-1.0,5,120,5,,0,-1.8230604455491255
permanent_release,1,True,5,0.0,0.0,-0.15,-0.75,10,120,10,,0,-1.6249677921931733
permanent_release,2,True,5,0.0,0.0,-0.15,-0.5,11,120,11,,0,-1.4863881008532613
permanent_release,3,True,5,0.0,0.0,-0.15,0.0,,120,,,0,-1.3155394633895747
permanent_release,4,True,5,0.0,0.0,-0.15,0.5,,120,,,0,-1.2367886328507458
permanent_release,5,True,5,0.0,0.0,-0.15,0.75,,120,,,0,-1.2341444597358697
permanent_release,6,True,5,0.0,0.0,-0.15,1.0,,120,,,0,-1.2575734200803883
permanent_release,7,True,5,0.0,0.0,-0.1,-1.0,10,120,10,,0,-1.6582703664688239
permanent_release,8,True,5,0.0,0.0,-0.1,-0.75,10,120,10,,0,-1.5102666946772259
permanent_release,9,True,5,0.0,0.0,-0.1,-0.5,11,120,11,,0,-1.4046482721376463
permanent_release,10,True,5,0.0,0.0,-0.1,0.0,,120,,,0,-1.2790603231580346
permanent_release,11,True,5,0.0,0.0,-0.1,0.5,,120,,,0,-1.2361253007508117
permanent_release,12,True,5,0.0,0.0,-0.1,0.75,,120,,,0,-1.2536666688271567
permanent_release,13,True,5,0.0,0.0,-0.1,1.0,,120,,,0,-1.296891036757549
permanent_release,14,True,5,0.0,0.0,-0.05,-1.0,10,120,10,,0,-1.536906238277283
permanent_release,15,True,5,0.0,0.0,-0.05,-0.75,10,120,10,,0,-1.4257219335691538
permanent_release,16,True,5,0.0,0.0,-0.05,-0.5,12,120,12,,0,-1.3477367946872316
permanent_release,17,True,5,0.0,0.0,-0.05,0.0,,120,,,0,-1.254544861387831
permanent_release,18,True,5,0.0,0.0,-0.05,0.5,,120,,,0,-1.252278069142182
permanent_release,19,True,5,0.0,0.0,-0.05,0.75,,120,,,0,-1.2897523455244584
permanent_release,20,True,5,0.0,0.0,-0.05,1.0,,120,,,0,-1.3526952819553513
permanent_release,21,True,5,0.0,0.0,0.05,-1.0,9,120,9,,0,-1.3901961424544023
permanent_release,22,True,5,0.0,0.0,0.05,-0.75,10,120,10,,0,-1.3248060168508606
permanent_release,23,True,5,0.0,0.0,0.05,-0.5,,120,,,0,-1.281731937117504
permanent_release,24,True,5,0.0,0.0,0.05,0.0,,120,,,0,-1.2565314660704123
permanent_release,25,True,5,0.0,0.0,0.05,0.5,,120,,,0,-1.3350429383446902
permanent_release,26,True,5,0.0,0.0,0.05,0.75,,120,,,0,-1.4128843103487518
permanent_release,27,True,5,0.0,0.0,0.05,1.0,,120,,,0,-1.5162697107385161
permanent_release,28,True,5,0.0,0.0,0.1,-1.0,9,120,9,,0,-1.344159292330138
permanent_release,29,True,5,0.0,0.0,0.1,-0.75,,120,,,0,-1.2990850601900186
permanent_release,30,True,5,0.0,0.0,0.1,-0.5,,120,,,0,-1.267412150215109
permanent_release,31,True,5,0.0,0.0,0.1,0.0,,120,,,0,-1.2828283324149359
permanent_release,32,True,5,0.0,0.0,0.1,0.5,,120,,,0,-1.4027263535676657
permanent_release,33,True,5,0.0,0.0,0.1,0.75,,120,,,0,-1.5016360303919616
permanent_release,34,True,5,0.0,0.0,0.1,1.0,,120,,,0,-1.627747948837765
permanent_release,35,True,5,0.0,0.0,0.15,-1.0,8,120,8,,0,-1.317947284159022
permanent_release,36,True,5,0.0,0.0,0.15,-0.75,,120,,,0,-1.2811343823174928
permanent_release,37,True,5,0.0,0.0,0.15,-0.5,,120,,,0,-1.269719044984957
permanent_release,38,True,5,0.0,0.0,0.15,0.0,,120,,,0,-1.3265761377105676
permanent_release,39,True,5,0.0,0.0,0.15,0.5,,120,,,0,-1.489404676999675
permanent_release,40,True,5,0.0,0.0,0.15,0.75,,120,,,0,-1.6104217510063377
permanent_release,41,True,5,0.0,0.0,0.15,1.0,,120,,,0,-1.776511129041992
resident_predictive_simplex,0,True,5,0.0,0.0,-0.15,-1.0,5,120,,1,119,-0.580621654876358
resident_predictive_simplex,1,True,5,0.0,0.0,-0.15,-0.75,10,108,,6,102,-0.48478591463883475
resident_predictive_simplex,2,True,5,0.0,0.0,-0.15,-0.5,11,91,,7,84,-0.4318742230247904
resident_predictive_simplex,3,True,5,0.0,0.0,-0.15,0.0,,120,,,0,-1.3155394633895747
resident_predictive_simplex,4,True,5,0.0,0.0,-0.15,0.5,,120,,,0,-1.2367886328507458
resident_predictive_simplex,5,True,5,0.0,0.0,-0.15,0.75,,120,,,0,-1.2341444597358697
resident_predictive_simplex,6,True,5,0.0,0.0,-0.15,1.0,,120,,,0,-1.2575734200803883
resident_predictive_simplex,7,True,5,0.0,0.0,-0.1,-1.0,10,110,,6,104,-0.5044423263961564
resident_predictive_simplex,8,True,5,0.0,0.0,-0.1,-0.75,10,98,,6,92,-0.404465342600326
resident_predictive_simplex,9,True,5,0.0,0.0,-0.1,-0.5,11,72,,7,65,-0.4203653961254291
resident_predictive_simplex,10,True,5,0.0,0.0,-0.1,0.0,,120,,,0,-1.2790603231580346
resident_predictive_simplex,11,True,5,0.0,0.0,-0.1,0.5,,120,,,0,-1.2361253007508117
resident_predictive_simplex,12,True,5,0.0,0.0,-0.1,0.75,,120,,,0,-1.2536666688271567
resident_predictive_simplex,13,True,5,0.0,0.0,-0.1,1.0,,120,,,0,-1.296891036757549
resident_predictive_simplex,14,True,5,0.0,0.0,-0.05,-1.0,10,104,,5,99,-0.3866416324251955
resident_predictive_simplex,15,True,5,0.0,0.0,-0.05,-0.75,10,85,,6,79,-0.35572530271965114
resident_predictive_simplex,16,True,5,0.0,0.0,-0.05,-0.5,12,47,,8,39,-0.5542815769996978
resident_predictive_simplex,17,True,5,0.0,0.0,-0.05,0.0,,120,,,0,-1.254544861387831
resident_predictive_simplex,18,True,5,0.0,0.0,-0.05,0.5,,120,,,0,-1.252278069142182
resident_predictive_simplex,19,True,5,0.0,0.0,-0.05,0.75,,120,,,0,-1.2897523455244584
resident_predictive_simplex,20,True,5,0.0,0.0,-0.05,1.0,,120,,,0,-1.3526952819553513
resident_predictive_simplex,21,True,5,0.0,0.0,0.05,-1.0,9,78,,5,73,-0.30587188944971444
resident_predictive_simplex,22,True,5,0.0,0.0,0.05,-0.75,10,42,,6,36,-0.45564268447633616
resident_predictive_simplex,23,True,5,0.0,0.0,0.05,-0.5,,120,,,0,-1.281731937117504
resident_predictive_simplex,24,True,5,0.0,0.0,0.05,0.0,,120,,,0,-1.2565314660704123
resident_predictive_simplex,25,True,5,0.0,0.0,0.05,0.5,,120,,,0,-1.3350429383446902
resident_predictive_simplex,26,True,5,0.0,0.0,0.05,0.75,,120,,,0,-1.4128843103487518
resident_predictive_simplex,27,True,5,0.0,0.0,0.05,1.0,,120,,,0,-1.5162697107385161
resident_predictive_simplex,28,True,5,0.0,0.0,0.1,-1.0,9,66,,4,62,-0.2524529672859184
resident_predictive_simplex,29,True,5,0.0,0.0,0.1,-0.75,,120,,,0,-1.2990850601900186
resident_predictive_simplex,30,True,5,0.0,0.0,0.1,-0.5,,120,,,0,-1.267412150215109
resident_predictive_simplex,31,True,5,0.0,0.0,0.1,0.0,,120,,,0,-1.2828283324149359
resident_predictive_simplex,32,True,5,0.0,0.0,0.1,0.5,,120,,,0,-1.4027263535676657
resident_predictive_simplex,33,True,5,0.0,0.0,0.1,0.75,,120,,,0,-1.5016360303919616
resident_predictive_simplex,34,True,5,0.0,0.0,0.1,1.0,,120,,,0,-1.627747948837765
resident_predictive_simplex,35,True,5,0.0,0.0,0.15,-1.0,8,38,,4,34,-0.362282482745789
resident_predictive_simplex,36,True,5,0.0,0.0,0.15,-0.75,,120,,,0,-1.2811343823174928
resident_predictive_simplex,37,True,5,0.0,0.0,0.15,-0.5,,120,,,0,-1.269719044984957
resident_predictive_simplex,38,True,5,0.0,0.0,0.15,0.0,,120,,,0,-1.3265761377105676
resident_predictive_simplex,39,True,5,0.0,0.0,0.15,0.5,,120,,,0,-1.489404676999675
resident_predictive_simplex,40,True,5,0.0,0.0,0.15,0.75,,120,,,0,-1.6104217510063377
resident_predictive_simplex,41,True,5,0.0,0.0,0.15,1.0,,120,,,0,-1.776511129041992
