contract,state_index,accepted_by_reverse_switch,reverse_switch_horizon,reverse_switch_max_margin,casadi_full_first_violation_step,init_x,init_x_dot,init_theta,init_theta_dot,physical_steps,physical_first_violation_step,interventions,empty_kernel_fallbacks,mean_reward
permanent_release,0,True,5,-0.007532009089459113,5,0.0,0.0,-0.15,-1.0,120,5,0,0,-1.8230604455491255
permanent_release,1,True,5,-0.027914046643088414,10,0.0,0.0,-0.15,-0.75,120,10,0,0,-1.6249677921931733
permanent_release,2,True,5,-0.039602268391303874,11,0.0,0.0,-0.15,-0.5,120,11,0,0,-1.4863881008532613
permanent_release,3,True,5,-0.0596979126724515,,0.0,0.0,-0.15,0.0,120,,0,0,-1.3155394633895747
permanent_release,4,True,5,-0.07449570876546699,,0.0,0.0,-0.15,0.5,120,,0,0,-1.2367886328507458
permanent_release,5,True,5,-0.08129713426171986,,0.0,0.0,-0.15,0.75,120,,0,0,-1.2341444597358697
permanent_release,6,True,5,-0.08809640662818291,,0.0,0.0,-0.15,1.0,120,,0,0,-1.2575734200803883
permanent_release,7,True,5,-0.06042486676814737,10,0.0,0.0,-0.1,-1.0,120,10,0,0,-1.6582703664688239
permanent_release,8,True,5,-0.08026820630378734,10,0.0,0.0,-0.1,-0.75,120,10,0,0,-1.5102666946772259
permanent_release,9,True,5,-0.09031351352096434,11,0.0,0.0,-0.1,-0.5,120,11,0,0,-1.4046482721376463
permanent_release,10,True,5,-0.10925829551058515,,0.0,0.0,-0.1,0.0,120,,0,0,-1.2790603231580346
permanent_release,11,True,5,-0.12281860256650698,,0.0,0.0,-0.1,0.5,120,,0,0,-1.2361253007508117
permanent_release,12,True,5,-0.1295965632463057,,0.0,0.0,-0.1,0.75,120,,0,0,-1.2536666688271567
permanent_release,13,True,5,-0.13637325981600124,,0.0,0.0,-0.1,1.0,120,,0,0,-1.296891036757549
permanent_release,14,True,5,-0.11320462056206393,10,0.0,0.0,-0.05,-1.0,120,10,0,0,-1.536906238277283
permanent_release,15,True,5,-0.13095214182910372,10,0.0,0.0,-0.05,-0.75,120,10,0,0,-1.4257219335691538
permanent_release,16,True,5,-0.1409961936853303,12,0.0,0.0,-0.05,-0.5,120,12,0,0,-1.3477367946872316
permanent_release,17,True,5,-0.14651135737522708,,0.0,0.0,-0.05,0.0,120,,0,0,-1.254544861387831
permanent_release,18,True,5,-0.14834733030078073,,0.0,0.0,-0.05,0.5,120,,0,0,-1.252278069142182
permanent_release,19,True,5,-0.14926919748194464,,0.0,0.0,-0.05,0.75,120,,0,0,-1.2897523455244584
permanent_release,20,True,5,-0.15019081081611405,,0.0,0.0,-0.05,1.0,120,,0,0,-1.3526952819553513
permanent_release,21,True,5,-0.11093596458416428,9,0.0,0.0,0.05,-1.0,120,9,0,0,-1.3901961424544023
permanent_release,22,True,5,-0.09971684207089081,10,0.0,0.0,0.05,-0.75,120,10,0,0,-1.3248060168508606
permanent_release,23,True,5,-0.09539697375626005,,0.0,0.0,0.05,-0.5,120,,0,0,-1.281731937117504
permanent_release,24,True,5,-0.09721328756775206,,0.0,0.0,0.05,0.0,120,,0,0,-1.2565314660704123
permanent_release,25,True,5,-0.09898433965587732,,0.0,0.0,0.05,0.5,120,,0,0,-1.3350429383446902
permanent_release,26,True,5,-0.09934933998792604,,0.0,0.0,0.05,0.75,120,,0,0,-1.4128843103487518
permanent_release,27,True,5,-0.09571455738535264,,0.0,0.0,0.05,1.0,120,,0,0,-1.5162697107385161
permanent_release,28,True,5,-0.07729803696193281,9,0.0,0.0,0.1,-1.0,120,9,0,0,-1.344159292330138
permanent_release,29,True,5,-0.06996491816645845,,0.0,0.0,0.1,-0.75,120,,0,0,-1.2990850601900186
permanent_release,30,True,5,-0.0708389310225448,,0.0,0.0,0.1,-0.5,120,,0,0,-1.267412150215109
permanent_release,31,True,5,-0.07253748753393402,,0.0,0.0,0.1,0.0,120,,0,0,-1.2828283324149359
permanent_release,32,True,5,-0.07116708668014127,,0.0,0.0,0.1,0.5,120,,0,0,-1.4027263535676657
permanent_release,33,True,5,-0.0643243155592649,,0.0,0.0,0.1,0.75,120,,0,0,-1.5016360303919616
permanent_release,34,True,5,-0.056684524753445625,,0.0,0.0,0.1,1.0,120,,0,0,-1.627747948837765
permanent_release,35,True,5,-0.04528321722813211,8,0.0,0.0,0.15,-1.0,120,8,0,0,-1.317947284159022
permanent_release,36,True,5,-0.045471965662645386,,0.0,0.0,0.15,-0.75,120,,0,0,-1.2811343823174928
permanent_release,37,True,5,-0.04625966451440769,,0.0,0.0,0.15,-0.5,120,,0,0,-1.269719044984957
permanent_release,38,True,5,-0.04662975192150942,,0.0,0.0,0.15,0.0,120,,0,0,-1.3265761377105676
permanent_release,39,True,5,-0.03096331130751598,,0.0,0.0,0.15,0.5,120,,0,0,-1.489404676999675
permanent_release,40,True,5,-0.02248901243642748,,0.0,0.0,0.15,0.75,120,,0,0,-1.6104217510063377
permanent_release,41,True,5,-0.007532009089459113,,0.0,0.0,0.15,1.0,120,,0,0,-1.776511129041992
resident_authority,0,True,5,-0.007532009089459113,5,0.0,0.0,-0.15,-1.0,120,11,15,7,-1.6147070874806706
resident_authority,1,True,5,-0.027914046643088414,10,0.0,0.0,-0.15,-0.75,120,10,6,4,-1.5083824196674753
resident_authority,2,True,5,-0.039602268391303874,11,0.0,0.0,-0.15,-0.5,120,11,3,2,-1.428484429731534
resident_authority,3,True,5,-0.0596979126724515,,0.0,0.0,-0.15,0.0,120,,0,0,-1.3155394633895747
resident_authority,4,True,5,-0.07449570876546699,,0.0,0.0,-0.15,0.5,120,,0,0,-1.2367886328507458
resident_authority,5,True,5,-0.08129713426171986,,0.0,0.0,-0.15,0.75,120,,0,0,-1.2341444597358697
resident_authority,6,True,5,-0.08809640662818291,,0.0,0.0,-0.15,1.0,120,,0,0,-1.2575734200803883
resident_authority,7,True,5,-0.06042486676814737,10,0.0,0.0,-0.1,-1.0,120,10,7,5,-1.5238392150227493
resident_authority,8,True,5,-0.08026820630378734,10,0.0,0.0,-0.1,-0.75,120,10,3,2,-1.459935625414538
resident_authority,9,True,5,-0.09031351352096434,11,0.0,0.0,-0.1,-0.5,120,11,2,1,-1.3719498768802099
resident_authority,10,True,5,-0.10925829551058515,,0.0,0.0,-0.1,0.0,120,,0,0,-1.2790603231580346
resident_authority,11,True,5,-0.12281860256650698,,0.0,0.0,-0.1,0.5,120,,0,0,-1.2361253007508117
resident_authority,12,True,5,-0.1295965632463057,,0.0,0.0,-0.1,0.75,120,,0,0,-1.2536666688271567
resident_authority,13,True,5,-0.13637325981600124,,0.0,0.0,-0.1,1.0,120,,0,0,-1.296891036757549
resident_authority,14,True,5,-0.11320462056206393,10,0.0,0.0,-0.05,-1.0,120,10,5,3,-1.4569967931657053
resident_authority,15,True,5,-0.13095214182910372,10,0.0,0.0,-0.05,-0.75,120,10,2,1,-1.3890570063176033
resident_authority,16,True,5,-0.1409961936853303,12,0.0,0.0,-0.05,-0.5,120,,2,0,-1.328646939644419
resident_authority,17,True,5,-0.14651135737522708,,0.0,0.0,-0.05,0.0,120,,0,0,-1.254544861387831
resident_authority,18,True,5,-0.14834733030078073,,0.0,0.0,-0.05,0.5,120,,0,0,-1.252278069142182
resident_authority,19,True,5,-0.14926919748194464,,0.0,0.0,-0.05,0.75,120,,0,0,-1.2897523455244584
resident_authority,20,True,5,-0.15019081081611405,,0.0,0.0,-0.05,1.0,120,,0,0,-1.3526952819553513
resident_authority,21,True,5,-0.11093596458416428,9,0.0,0.0,0.05,-1.0,120,9,2,1,-1.3521560129747705
resident_authority,22,True,5,-0.09971684207089081,10,0.0,0.0,0.05,-0.75,120,,2,0,-1.3065580309818545
resident_authority,23,True,5,-0.09539697375626005,,0.0,0.0,0.05,-0.5,120,,0,0,-1.281731937117504
resident_authority,24,True,5,-0.09721328756775206,,0.0,0.0,0.05,0.0,120,,0,0,-1.2565314660704123
resident_authority,25,True,5,-0.09898433965587732,,0.0,0.0,0.05,0.5,120,,0,0,-1.3350429383446902
resident_authority,26,True,5,-0.09934933998792604,,0.0,0.0,0.05,0.75,120,,0,0,-1.4128843103487518
resident_authority,27,True,5,-0.09571455738535264,,0.0,0.0,0.05,1.0,120,,0,0,-1.5162697107385161
resident_authority,28,True,5,-0.07729803696193281,9,0.0,0.0,0.1,-1.0,120,9,3,1,-1.313989299549526
resident_authority,29,True,5,-0.06996491816645845,,0.0,0.0,0.1,-0.75,120,,0,0,-1.2990850601900186
resident_authority,30,True,5,-0.0708389310225448,,0.0,0.0,0.1,-0.5,120,,0,0,-1.267412150215109
resident_authority,31,True,5,-0.07253748753393402,,0.0,0.0,0.1,0.0,120,,0,0,-1.2828283324149359
