scope,detector,level,clean_units,poison_units,false_positives,true_positives,false_positive_rate,true_positive_rate
2071,trusted_recomputation,step,96,96,0,96,0.0,1.0
2071,trusted_recomputation,batch,12,12,0,12,0.0,1.0
2071,known_sign,step,96,96,0,41,0.0,0.4270833333333333
2071,known_sign,batch,12,12,0,10,0.0,0.8333333333333334
2071,scalar_envelope,step,96,96,0,42,0.0,0.4375
2071,scalar_envelope,batch,12,12,0,10,0.0,0.8333333333333334
2071,batch_mean_envelope,batch,12,12,1,0,0.08333333333333333,0.0
2072,trusted_recomputation,step,96,96,0,96,0.0,1.0
2072,trusted_recomputation,batch,12,12,0,12,0.0,1.0
2072,known_sign,step,96,96,0,27,0.0,0.28125
2072,known_sign,batch,12,12,0,11,0.0,0.9166666666666666
2072,scalar_envelope,step,96,96,0,28,0.0,0.2916666666666667
2072,scalar_envelope,batch,12,12,0,11,0.0,0.9166666666666666
2072,batch_mean_envelope,batch,12,12,0,0,0.0,0.0
2100,trusted_recomputation,step,96,96,0,96,0.0,1.0
2100,trusted_recomputation,batch,12,12,0,12,0.0,1.0
2100,known_sign,step,96,96,0,29,0.0,0.3020833333333333
2100,known_sign,batch,12,12,0,10,0.0,0.8333333333333334
2100,scalar_envelope,step,96,96,0,30,0.0,0.3125
2100,scalar_envelope,batch,12,12,0,10,0.0,0.8333333333333334
2100,batch_mean_envelope,batch,12,12,1,0,0.08333333333333333,0.0
2101,trusted_recomputation,step,96,96,0,96,0.0,1.0
2101,trusted_recomputation,batch,12,12,0,12,0.0,1.0
2101,known_sign,step,96,96,0,41,0.0,0.4270833333333333
2101,known_sign,batch,12,12,0,12,0.0,1.0
2101,scalar_envelope,step,96,96,0,43,0.0,0.4479166666666667
2101,scalar_envelope,batch,12,12,0,12,0.0,1.0
2101,batch_mean_envelope,batch,12,12,0,0,0.0,0.0
2102,trusted_recomputation,step,96,96,0,96,0.0,1.0
2102,trusted_recomputation,batch,12,12,0,12,0.0,1.0
2102,known_sign,step,96,96,0,36,0.0,0.375
2102,known_sign,batch,12,12,0,12,0.0,1.0
2102,scalar_envelope,step,96,96,0,37,0.0,0.3854166666666667
2102,scalar_envelope,batch,12,12,0,12,0.0,1.0
2102,batch_mean_envelope,batch,12,12,1,0,0.08333333333333333,0.0
2103,trusted_recomputation,step,96,96,0,96,0.0,1.0
2103,trusted_recomputation,batch,12,12,0,12,0.0,1.0
2103,known_sign,step,96,96,0,42,0.0,0.4375
2103,known_sign,batch,12,12,0,10,0.0,0.8333333333333334
2103,scalar_envelope,step,96,96,5,44,0.052083333333333336,0.4583333333333333
2103,scalar_envelope,batch,12,12,2,11,0.16666666666666666,0.9166666666666666
2103,batch_mean_envelope,batch,12,12,0,1,0.0,0.08333333333333333
2104,trusted_recomputation,step,96,96,0,96,0.0,1.0
2104,trusted_recomputation,batch,12,12,0,12,0.0,1.0
2104,known_sign,step,96,96,0,37,0.0,0.3854166666666667
2104,known_sign,batch,12,12,0,11,0.0,0.9166666666666666
2104,scalar_envelope,step,96,96,2,37,0.020833333333333332,0.3854166666666667
2104,scalar_envelope,batch,12,12,1,11,0.08333333333333333,0.9166666666666666
2104,batch_mean_envelope,batch,12,12,0,0,0.0,0.0
pooled,trusted_recomputation,step,672,672,0,672,0.0,1.0
pooled,trusted_recomputation,batch,84,84,0,84,0.0,1.0
pooled,known_sign,step,672,672,0,253,0.0,0.37648809523809523
pooled,known_sign,batch,84,84,0,76,0.0,0.9047619047619048
pooled,scalar_envelope,step,672,672,7,261,0.010416666666666666,0.38839285714285715
pooled,scalar_envelope,batch,84,84,3,77,0.03571428571428571,0.9166666666666666
pooled,batch_mean_envelope,batch,84,84,3,1,0.03571428571428571,0.011904761904761904
