scope,detector,level,clean_units,poison_units,false_positives,true_positives,false_positive_rate,true_positive_rate
2071,trusted_recomputation,step,96,96,0,96,0.0,1.0
2071,trusted_recomputation,batch,12,12,0,12,0.0,1.0
2071,known_sign,step,96,96,0,41,0.0,0.4270833333333333
2071,known_sign,batch,12,12,0,10,0.0,0.8333333333333334
2071,scalar_envelope,step,96,96,0,42,0.0,0.4375
2071,scalar_envelope,batch,12,12,0,10,0.0,0.8333333333333334
2071,batch_mean_envelope,batch,12,12,1,0,0.08333333333333333,0.0
2072,trusted_recomputation,step,96,96,0,96,0.0,1.0
2072,trusted_recomputation,batch,12,12,0,12,0.0,1.0
2072,known_sign,step,96,96,0,27,0.0,0.28125
2072,known_sign,batch,12,12,0,11,0.0,0.9166666666666666
2072,scalar_envelope,step,96,96,0,28,0.0,0.2916666666666667
2072,scalar_envelope,batch,12,12,0,11,0.0,0.9166666666666666
2072,batch_mean_envelope,batch,12,12,0,0,0.0,0.0
pooled,trusted_recomputation,step,192,192,0,192,0.0,1.0
pooled,trusted_recomputation,batch,24,24,0,24,0.0,1.0
pooled,known_sign,step,192,192,0,68,0.0,0.3541666666666667
pooled,known_sign,batch,24,24,0,21,0.0,0.875
pooled,scalar_envelope,step,192,192,0,70,0.0,0.3645833333333333
pooled,scalar_envelope,batch,24,24,0,21,0.0,0.875
pooled,batch_mean_envelope,batch,24,24,1,0,0.041666666666666664,0.0
