constraint_index,row_gain,row_bias,bound,clean_value,worst_support,robust_margin,witness_value,witness_support_error,witness_max_reward_poison,witness_gradient_norm,witness_gradient_clipped,witness_parameter_clipped,support_exact,robust_for_budget
0,-0.03,1.0,11.611548048308322,0.15585789246194615,0.44579360221901365,11.165754446089307,0.4457936014389211,7.800925461154407e-10,2.0000000300885605,0.49684541396701026,False,False,True,True
1,0.03,-1.0,8.388451951691678,-0.15585789246194615,0.14529283608454546,8.243159115607133,0.14529283578885294,2.956925260200194e-10,2.000000006321481,0.14889953353187294,False,False,True,True
2,-0.03,1.0,11.2758715239342,0.15585789246194615,0.44579360221901365,10.830077921715185,0.4457936014389211,7.800925461154407e-10,2.0000000300885605,0.49684541396701026,False,False,True,True
3,0.03,-1.0,8.7241284760658,-0.15585789246194615,0.14529283608454546,8.578835639981255,0.14529283578885294,2.956925260200194e-10,2.000000006321481,0.14889953353187294,False,False,True,True
4,-0.03,1.0,10.940194999560077,0.15585789246194615,0.44579360221901365,10.494401397341063,0.4457936014389211,7.800925461154407e-10,2.0000000300885605,0.49684541396701026,False,False,True,True
5,0.03,-1.0,9.059805000439923,-0.15585789246194615,0.14529283608454546,8.914512164355378,0.14529283578885294,2.956925260200194e-10,2.000000006321481,0.14889953353187294,False,False,True,True
6,0.0,1.0,10.335676524374122,0.134279190611039,0.40199602450518324,9.933680499868938,0.40199602442118876,8.399447803952853e-11,2.0000000045910764,0.49684541229173373,False,False,True,True
7,-0.0,-1.0,9.664323475625878,-0.134279190611039,0.14788967652461799,9.516433799101259,0.14788967624337082,2.8124716444644093e-10,2.0000000072495268,0.1488995334164305,False,False,True,True
8,0.0,1.0,10.0,0.134279190611039,0.40199602450518324,9.598003975494816,0.40199602442118876,8.399447803952853e-11,2.0000000045910764,0.49684541229173373,False,False,True,True
9,-0.0,-1.0,10.0,-0.134279190611039,0.14788967652461799,9.852110323475381,0.14788967624337082,2.8124716444644093e-10,2.0000000072495268,0.1488995334164305,False,False,True,True
10,0.0,1.0,9.664323475625878,0.134279190611039,0.40199602450518324,9.262327451120694,0.40199602442118876,8.399447803952853e-11,2.0000000045910764,0.49684541229173373,False,False,True,True
11,-0.0,-1.0,10.335676524374122,-0.134279190611039,0.14788967652461799,10.187786847849504,0.14788967624337082,2.8124716444644093e-10,2.0000000072495268,0.1488995334164305,False,False,True,True
12,0.03,1.0,9.059805000439923,0.11270048876013182,0.3581984568264419,8.701606543613481,0.3581984570480859,2.2164398094659532e-10,2.0000001655903716,0.49684542228514467,False,False,True,True
13,-0.03,-1.0,10.940194999560077,-0.11270048876013182,0.1504865199838003,10.789708479576277,0.15048651901831622,9.654840815720434e-10,2.000000028054164,0.1488995356218934,False,False,True,True
14,0.03,1.0,8.7241284760658,0.11270048876013182,0.3581984568264419,8.365930019239359,0.3581984570480859,2.2164398094659532e-10,2.0000001655903716,0.49684542228514467,False,False,True,True
15,-0.03,-1.0,11.2758715239342,-0.11270048876013182,0.1504865199838003,11.125385003950399,0.15048651901831622,9.654840815720434e-10,2.000000028054164,0.1488995356218934,False,False,True,True
16,0.03,1.0,8.388451951691678,0.11270048876013182,0.3581984568264419,8.030253494865237,0.3581984570480859,2.2164398094659532e-10,2.0000001655903716,0.49684542228514467,False,False,True,True
17,-0.03,-1.0,11.611548048308322,-0.11270048876013182,0.1504865199838003,11.461061528324521,0.15048651901831622,9.654840815720434e-10,2.000000028054164,0.1488995356218934,False,False,True,True
18,1.0,0.0,18.0,-0.7192900616969056,0.0,18.0,nan,nan,0.0,nan,False,False,False,True
19,-1.0,0.0,18.0,0.7192900616969056,1.4599191922511707,16.54008080774883,1.4599191933169813,1.0658105509264715e-09,2.0000004771017443,0.4968454129067545,False,False,True,True
20,0.0,1.0,5.0,0.134279190611039,0.40199602450518324,4.598003975494817,0.40199602442118876,8.399447803952853e-11,2.0000000045910764,0.49684541229173373,False,False,True,True
21,0.0,-1.0,5.0,-0.134279190611039,0.14788967652461799,4.852110323475382,0.14788967624337082,2.8124716444644093e-10,2.0000000072495268,0.1488995334164305,False,False,True,True
