learner_seed,principal,requested_path,forged_claim,attempts,authorized,denied,expected_authorized,expectation_met
2100,reward-writer,reward,False,96,96,0,True,True
2100,reward-writer,feature_gain_coordinate,False,1,0,1,False,True
2100,reward-writer,feature_bias_coordinate,False,1,0,1,False,True
2100,reward-writer,exploration_noise,False,1,0,1,False,True
2100,reward-writer,done,False,1,0,1,False,True
2100,reward-writer,run_id,False,1,0,1,False,True
2100,reward-writer,batch,False,1,0,1,False,True
2100,reward-writer,step,False,1,0,1,False,True
2100,reward-writer,trainer.params,False,1,0,1,False,True
2100,reward-writer,optimizer.state,False,1,0,1,False,True
2100,reward-writer,release.decision,False,1,0,1,False,True
2100,reward-writer,certificate.state,False,1,0,1,False,True
2100,reward-writer,trainer.params,True,1,0,1,False,True
2101,reward-writer,reward,False,96,96,0,True,True
2101,reward-writer,feature_gain_coordinate,False,1,0,1,False,True
2101,reward-writer,feature_bias_coordinate,False,1,0,1,False,True
2101,reward-writer,exploration_noise,False,1,0,1,False,True
2101,reward-writer,done,False,1,0,1,False,True
2101,reward-writer,run_id,False,1,0,1,False,True
2101,reward-writer,batch,False,1,0,1,False,True
2101,reward-writer,step,False,1,0,1,False,True
2101,reward-writer,trainer.params,False,1,0,1,False,True
2101,reward-writer,optimizer.state,False,1,0,1,False,True
2101,reward-writer,release.decision,False,1,0,1,False,True
2101,reward-writer,certificate.state,False,1,0,1,False,True
2101,reward-writer,trainer.params,True,1,0,1,False,True
2102,reward-writer,reward,False,96,96,0,True,True
2102,reward-writer,feature_gain_coordinate,False,1,0,1,False,True
2102,reward-writer,feature_bias_coordinate,False,1,0,1,False,True
2102,reward-writer,exploration_noise,False,1,0,1,False,True
2102,reward-writer,done,False,1,0,1,False,True
2102,reward-writer,run_id,False,1,0,1,False,True
2102,reward-writer,batch,False,1,0,1,False,True
2102,reward-writer,step,False,1,0,1,False,True
2102,reward-writer,trainer.params,False,1,0,1,False,True
2102,reward-writer,optimizer.state,False,1,0,1,False,True
2102,reward-writer,release.decision,False,1,0,1,False,True
2102,reward-writer,certificate.state,False,1,0,1,False,True
2102,reward-writer,trainer.params,True,1,0,1,False,True
2103,reward-writer,reward,False,96,96,0,True,True
2103,reward-writer,feature_gain_coordinate,False,1,0,1,False,True
2103,reward-writer,feature_bias_coordinate,False,1,0,1,False,True
2103,reward-writer,exploration_noise,False,1,0,1,False,True
2103,reward-writer,done,False,1,0,1,False,True
2103,reward-writer,run_id,False,1,0,1,False,True
2103,reward-writer,batch,False,1,0,1,False,True
2103,reward-writer,step,False,1,0,1,False,True
2103,reward-writer,trainer.params,False,1,0,1,False,True
2103,reward-writer,optimizer.state,False,1,0,1,False,True
2103,reward-writer,release.decision,False,1,0,1,False,True
2103,reward-writer,certificate.state,False,1,0,1,False,True
2103,reward-writer,trainer.params,True,1,0,1,False,True
2104,reward-writer,reward,False,96,96,0,True,True
2104,reward-writer,feature_gain_coordinate,False,1,0,1,False,True
2104,reward-writer,feature_bias_coordinate,False,1,0,1,False,True
2104,reward-writer,exploration_noise,False,1,0,1,False,True
2104,reward-writer,done,False,1,0,1,False,True
2104,reward-writer,run_id,False,1,0,1,False,True
2104,reward-writer,batch,False,1,0,1,False,True
2104,reward-writer,step,False,1,0,1,False,True
2104,reward-writer,trainer.params,False,1,0,1,False,True
2104,reward-writer,optimizer.state,False,1,0,1,False,True
2104,reward-writer,release.decision,False,1,0,1,False,True
2104,reward-writer,certificate.state,False,1,0,1,False,True
2104,reward-writer,trainer.params,True,1,0,1,False,True
