learner_seed,probe,expected_valid,observed_valid,detected,reason
2100,untouched,True,True,True,valid
2100,reward_mutation,False,False,True,invalid_event_mac
2100,interior_omission,False,False,True,record_count_mismatch
2100,adjacent_reorder,False,False,True,sequence_mismatch
2100,record_replay,False,False,True,record_count_mismatch
2100,tail_truncation,False,False,True,record_count_mismatch
2101,untouched,True,True,True,valid
2101,reward_mutation,False,False,True,invalid_event_mac
2101,interior_omission,False,False,True,record_count_mismatch
2101,adjacent_reorder,False,False,True,sequence_mismatch
2101,record_replay,False,False,True,record_count_mismatch
2101,tail_truncation,False,False,True,record_count_mismatch
2102,untouched,True,True,True,valid
2102,reward_mutation,False,False,True,invalid_event_mac
2102,interior_omission,False,False,True,record_count_mismatch
2102,adjacent_reorder,False,False,True,sequence_mismatch
2102,record_replay,False,False,True,record_count_mismatch
2102,tail_truncation,False,False,True,record_count_mismatch
2103,untouched,True,True,True,valid
2103,reward_mutation,False,False,True,invalid_event_mac
2103,interior_omission,False,False,True,record_count_mismatch
2103,adjacent_reorder,False,False,True,sequence_mismatch
2103,record_replay,False,False,True,record_count_mismatch
2103,tail_truncation,False,False,True,record_count_mismatch
2104,untouched,True,True,True,valid
2104,reward_mutation,False,False,True,invalid_event_mac
2104,interior_omission,False,False,True,record_count_mismatch
2104,adjacent_reorder,False,False,True,sequence_mismatch
2104,record_replay,False,False,True,record_count_mismatch
2104,tail_truncation,False,False,True,record_count_mismatch
