learner_seed,mode,records,nonzero_edits,authorized_reward_patches,integrity_flagged_records,accepted_records,rejected_records,repaired_records,accepted_batches,rejected_batches,availability,verification_operations,verification_elapsed_ns,final_gain,final_bias,poisoned_parameter_error,exact_poisoned_snapshot_match,offline_counterfactual_only,locked_physical_link_valid,linked_poisoned_release_violations,linked_resident_predictive_violations
2100,unsigned_postproducer_mutation,96,96,96,0,96,0,0,12,0,1.0,0,0,-5.543037007177907,-5.0,0.0,True,False,True,27,0
2100,origin_bound_fail_closed,96,96,96,96,0,96,0,0,12,0.0,96,2542307,0.0,0.0,7.46493531538913,False,True,False,,
2100,compromised_producer_valid,96,96,96,0,96,0,0,12,0,1.0,96,2654127,-5.543037007177907,-5.0,0.0,True,False,True,27,0
2100,trusted_reference_repair,96,96,96,96,96,0,96,12,0,1.0,0,0,-2.4126872446741587,-2.7738709874209073,3.8411899219192014,False,True,False,,
2100,known_sign_fail_closed,96,96,96,29,16,80,0,2,10,0.16666666666666666,0,0,-0.00533232593089958,-0.1882370435055664,7.336159477969183,False,True,False,,
2100,scalar_envelope_fail_closed,96,96,96,30,16,80,0,2,10,0.16666666666666666,0,0,-0.00533232593089958,-0.1882370435055664,7.336159477969183,False,True,False,,
2101,unsigned_postproducer_mutation,96,96,96,0,96,0,0,12,0,1.0,0,0,-2.279486591259697,-4.495923770745858,0.0,True,False,True,27,0
2101,origin_bound_fail_closed,96,96,96,96,0,96,0,0,12,0.0,96,2452833,0.0,0.0,5.040772725692997,False,True,False,,
2101,compromised_producer_valid,96,96,96,0,96,0,0,12,0,1.0,96,2623529,-2.279486591259697,-4.495923770745858,0.0,True,False,True,27,0
2101,trusted_reference_repair,96,96,96,96,96,0,96,12,0,1.0,0,0,1.6142652940468196,0.1222453963266512,6.040595185909021,False,True,False,,
2101,known_sign_fail_closed,96,96,96,41,0,96,0,0,12,0.0,0,0,0.0,0.0,5.040772725692997,False,True,False,,
2101,scalar_envelope_fail_closed,96,96,96,43,0,96,0,0,12,0.0,0,0,0.0,0.0,5.040772725692997,False,True,False,,
2102,unsigned_postproducer_mutation,96,96,96,0,96,0,0,12,0,1.0,0,0,-6.004893112371452,-5.0,0.0,True,False,True,27,0
2102,origin_bound_fail_closed,96,96,96,96,0,96,0,0,12,0.0,96,2436619,0.0,0.0,7.814009296833866,False,True,False,,
2102,compromised_producer_valid,96,96,96,0,96,0,0,12,0,1.0,96,2587349,-6.004893112371452,-5.0,0.0,True,False,True,27,0
2102,trusted_reference_repair,96,96,96,96,96,0,96,12,0,1.0,0,0,-4.9750750725044535,-1.3485703196093006,3.793871888463504,False,True,False,,
2102,known_sign_fail_closed,96,96,96,36,0,96,0,0,12,0.0,0,0,0.0,0.0,7.814009296833866,False,True,False,,
2102,scalar_envelope_fail_closed,96,96,96,37,0,96,0,0,12,0.0,0,0,0.0,0.0,7.814009296833866,False,True,False,,
2103,unsigned_postproducer_mutation,96,96,96,0,96,0,0,12,0,1.0,0,0,-2.9356713677628314,-2.6732563222165724,0.0,True,False,True,27,0
2103,origin_bound_fail_closed,96,96,96,96,0,96,0,0,12,0.0,96,2445799,0.0,0.0,3.9704490607201306,False,True,False,,
2103,compromised_producer_valid,96,96,96,0,96,0,0,12,0,1.0,96,2609091,-2.9356713677628314,-2.6732563222165724,0.0,True,False,True,27,0
2103,trusted_reference_repair,96,96,96,96,96,0,96,12,0,1.0,0,0,-0.7439922797509058,-0.18400394631657574,3.316599857648276,False,True,False,,
2103,known_sign_fail_closed,96,96,96,42,16,80,0,2,10,0.16666666666666666,0,0,0.5996734360162209,-0.06369763993897698,4.394139210113617,False,True,False,,
2103,scalar_envelope_fail_closed,96,96,96,44,8,88,0,1,11,0.08333333333333333,0,0,-0.01981513266202457,-0.07779766643487263,3.903667918464428,False,True,False,,
2104,unsigned_postproducer_mutation,96,96,96,0,96,0,0,12,0,1.0,0,0,-9.23480397551798,-5.0,0.0,True,False,True,27,0
2104,origin_bound_fail_closed,96,96,96,96,0,96,0,0,12,0.0,96,2456724,0.0,0.0,10.501504866743751,False,True,False,,
2104,compromised_producer_valid,96,96,96,0,96,0,0,12,0,1.0,96,2595766,-9.23480397551798,-5.0,0.0,True,False,True,27,0
2104,trusted_reference_repair,96,96,96,96,96,0,96,12,0,1.0,0,0,-5.917995986190881,-0.6910051801400636,5.437706464645167,False,True,False,,
2104,known_sign_fail_closed,96,96,96,37,8,88,0,1,11,0.08333333333333333,0,0,-0.053075854514824675,-0.5016693247320408,10.224436911247329,False,True,False,,
2104,scalar_envelope_fail_closed,96,96,96,37,8,88,0,1,11,0.08333333333333333,0,0,-0.053075854514824675,-0.5016693247320408,10.224436911247329,False,True,False,,
