learner_seed,batch,current_gain,current_bias,normalization_singular_in_old_audit,old_global_gradient_clip_excluded,actual_gradient_clip_active,actual_parameter_clip_active,global_parameter_clip_excluded,exact_clipped_support_eligible,target_direction_gain,target_direction_bias,exact_target_support,actual_target_value,exact_support_gap,actual_fraction_of_optimal_increment,witness_support_error,witness_max_reward_poison,witness_centered_return_norm,witness_raw_gradient_norm,witness_gradient_clipped,solver_status
2070,0,0.0,0.0,False,False,False,False,True,True,0.9635179096299405,-0.2676438637860946,0.0,-1.6645500630797865,1.6645500630797865,,0.0,0.0,19.206550673192048,0.7371266281174996,False,nonpositive_conservative_zero
2070,1,-1.6051998043867672,0.44055298466657766,True,False,True,False,True,True,0.9635855089138082,-0.26740038708146496,1.0743991305368799,-3.476794378685972,4.551193509222852,-0.6616560283261139,1.5239811940848114e-05,1.4634006096252379,8.446073586329087e-08,1.0000010686701943,True,optimal_inaccurate;recovery_direct_optimal
2070,2,-3.73694868642505,-0.46400539827901266,True,True,False,False,True,True,0.9789132544192776,-0.20427638219397407,-1.5202649586055172,-4.719007972196807,3.1987430135912898,-0.5656334389001199,2.706078136105461e-05,0.8256505471096991,3.2552459072707386e-08,0.7286645636116519,False,optimal_inaccurate;recovery_direct_optimal
2070,3,-4.985891801469702,-0.7918076266335237,True,False,True,False,True,False,0.983651217789728,-0.1800840963016588,,-7.287444637575898,,,,,,,,witness_recovery_failed:conic support ray has no witness above normalization tolerance
2070,4,-7.707115868296934,-1.6307340734241886,True,False,False,False,True,True,0.9915202640497986,-0.1299521680412356,-5.582447574776234,-8.274099259108258,2.691651684332024,-0.45699723924603763,6.9233271462465495e-06,1.6466145610043699,6.68736116741183e-08,0.9999991709663346,False,optimal_inaccurate;recovery_direct_optimal
2070,5,-8.610117995141335,-2.023877037978663,True,False,False,False,True,True,0.9938037773856261,-0.11114878341241995,-7.691571286751385,-8.67724474882589,0.9856734620745051,-0.5395253627531058,6.503994232076593e-08,1.9999999954689363,1.883772786539846,0.9999999999709241,False,optimal;recovery_direct_optimal
2070,6,-9.021297244891427,-2.5925117776282676,True,False,False,False,True,True,0.9960544303366266,-0.08874441845422394,-8.629101913446547,-8.788470911120902,0.15936899767435442,-0.2595330332355942,1.3870190329612342e-08,1.9999998241373558,1.4544273050881527,0.9999999982823449,False,optimal;recovery_direct_optimal
2070,7,-9.115699439261427,-3.282030645372748,True,False,False,False,True,True,0.9979989675710973,-0.06323022004567115,-8.719703482288931,-8.777098714647964,0.05739523235903299,0.6628403698457259,4.23326724785511e-08,1.9997900475597943,1.8948068373571916,0.9999999739512626,False,optimal_inaccurate;recovery_direct_optimal_inaccurate
2070,8,-9.045445576299342,-3.9577061654787036,True,False,False,False,True,True,0.9992582140202478,-0.03851002094344414,-8.850698005247516,-8.880288601389392,0.02959059614187609,0.16942032507109892,4.566397038274772e-09,1.9999999676813738,2.0686438725639382,0.6845297655015041,False,optimal;recovery_direct_optimal
2070,9,-9.050728102251947,-4.251511519305652,True,False,False,True,False,False,0.9996174105082747,-0.027659222851183447,,-8.880411347148025,,,,,,,,parameter_clip_not_globally_excluded
2070,10,-9.022159244723646,-5.0,True,False,False,True,False,False,1.0,0.0,,-8.95046459064493,,,,,,,,parameter_clip_not_globally_excluded
2070,11,-8.95046459064493,-5.0,True,False,False,True,False,False,1.0,0.0,,-8.94978632910513,,,,,,,,parameter_clip_not_globally_excluded
2071,0,0.0,0.0,False,False,False,False,True,True,0.9635179096299405,-0.2676438637860946,0.0,-0.4495539972309014,0.4495539972309014,,0.0,0.0,19.43890212987762,0.6072196966846245,False,nonpositive_conservative_zero
2071,1,-0.5720126352069674,-0.3795731383059928,False,False,False,False,True,True,0.9704194295785281,-0.24142520725161246,1.6289480662737095,-1.9415707614848277,3.570518827758537,-0.7064212848237255,2.5713559424378474e-05,2.0,0.752492160422396,0.9248662891255801,False,optimal_inaccurate;recovery_direct_optimal_inaccurate
2071,2,-2.2880149305814337,-1.1546573180597366,True,False,False,False,True,True,0.9825076564248809,-0.18622219273354107,1.0480540692754237,-2.713699788349697,3.761753857625121,-0.22094295358344399,6.192716901942674e-06,1.1851887668813443,1.0066339249444696e-07,1.0000851215861024,True,optimal;recovery_direct_optimal_inaccurate
2071,3,-3.016253536760767,-1.3413675436299979,True,False,False,False,True,True,0.9851830014216175,-0.17150642468984473,0.17906340680098465,-4.549707105760651,4.728770512561635,-0.6191248033033762,2.186662380543325e-05,1.364208864755553,1.3097850429821732e-07,1.0000036323459123,True,optimal_inaccurate;recovery_direct_optimal
2071,4,-4.96173436054246,-1.973740892957834,True,False,True,False,True,True,0.9914264716654956,-0.13066579996658,-2.7880467034027836,-6.3998706263481155,3.611823922945332,-0.9281080719052412,1.8832486015085692e-07,2.0,2.6043997414522533,1.0000000000001381,True,optimal;recovery_direct_optimal
2071,5,-6.837514871964745,-2.9007025420667567,True,False,False,False,True,True,0.9964471050174649,-0.08422094099636591,-5.44152914972601,-7.151638270025646,1.7101091202996352,-0.5168706425537796,2.0431291414269026e-06,0.5679109343214671,6.734282367185408e-07,1.0000058235877793,True,optimal_inaccurate;recovery_direct_optimal
