learner_seed,evaluation_seed,batch,selected_states,poison_initially_accepted,accepted_full_casadi_violations,max_reverse_margin,final_batch_locked_acceptance_match,final_batch_locked_full_outcome_match
2070,9070,0,24,24,0,-0.05811650295493351,False,False
2070,9070,1,24,24,0,-0.05811650295493351,False,False
2070,9070,2,24,24,0,-0.05811650295493351,False,False
2070,9070,3,24,24,0,-0.05811650295493351,False,False
2070,9070,4,24,24,0,-0.05811650295493351,False,False
2070,9070,5,24,24,2,-0.05350147776386019,False,False
2070,9070,6,24,24,6,-0.04229282270577836,False,False
2070,9070,7,24,24,9,-0.031645325881943215,False,False
2070,9070,8,24,24,10,-0.026942247154192217,False,False
2070,9070,9,24,24,11,-0.015050154989754372,False,False
2070,9070,10,24,24,11,-0.01520497400163573,False,False
2070,9070,11,24,24,11,-0.015206438284312396,True,True
2071,9071,0,24,24,0,-0.06862319785935339,False,False
2071,9071,1,24,24,0,-0.06926398823498975,False,False
2071,9071,2,24,24,1,-0.06937069269655585,False,False
2071,9071,3,24,24,2,-0.06716408241119448,False,False
2071,9071,4,24,24,2,-0.06246645933246778,False,False
2071,9071,5,24,24,3,-0.059977507587460815,False,False
2071,9071,6,24,24,5,-0.05214440408374735,False,False
2071,9071,7,24,24,5,-0.049213016855031794,False,False
2071,9071,8,24,24,5,-0.046644272011738624,False,False
2071,9071,9,24,24,5,-0.04719134093842314,False,False
2071,9071,10,24,24,5,-0.047314820635818294,False,False
2071,9071,11,24,24,5,-0.048262546076201146,True,True
2072,9072,0,24,24,0,-0.06205192987841443,False,False
2072,9072,1,24,24,0,-0.06205192987841443,False,False
2072,9072,2,24,24,0,-0.06205192987841443,False,False
2072,9072,3,24,24,1,-0.06205192987841443,False,False
2072,9072,4,24,24,3,-0.05801134170843128,False,False
2072,9072,5,24,24,3,-0.054482533374787145,False,False
2072,9072,6,24,24,5,-0.045897716936194294,False,False
2072,9072,7,24,24,5,-0.04148405037385097,False,False
2072,9072,8,24,24,5,-0.03802088548091595,False,False
2072,9072,9,24,24,7,-0.0270454541502943,False,False
2072,9072,10,24,24,7,-0.02562544732167721,False,False
2072,9072,11,24,24,7,-0.025477837615561855,True,True
