learner_seed,evaluation_seed,states_accepted,raw_release_violations,resident_violations,resident_switches
2300,9300,24,0,0,0
2301,9301,24,0,0,0
2302,9302,24,0,0,0
2303,9303,24,0,0,0
2304,9304,24,0,0,0
2305,9305,24,5,0,5
2306,9306,24,2,0,3
2307,9307,24,0,0,0
2308,9308,24,0,0,0
2309,9309,24,0,0,0
2310,9310,24,1,0,1
2311,9311,24,0,0,0
2312,9312,24,0,0,0
2313,9313,24,1,0,1
2314,9314,24,1,0,1
2315,9315,24,0,0,0
2316,9316,24,0,0,0
2317,9317,24,0,0,0
2318,9318,24,0,0,0
2319,9319,24,0,0,0
