duration,learner_seed,evaluation_seed,condition,total_batches,states_accepted,raw_release_violations,resident_violations,resident_switches,final_effective_gain,final_effective_bias,final_learner_w0,final_learner_w1,mean_true_reward,mean_logged_reward,max_reward_poison,adaptation_constraint_violations,known_sign_batches_flagged,scalar_envelope_batches_flagged,batch_mean_envelope_batches_flagged,trusted_recomputation_batches_flagged
12,2400,9400,clean,12,24,2,0,2,0.4346156910481007,-1.6043228811431234,0.08692313820962015,-1.6043228811431234,-0.5212268899896907,-0.5212268899896907,0.0,0,0,0,1,0
12,2400,9400,unconstrained,12,23,8,0,8,-2.979219902477433,-5.0,-0.5958439804954866,-5.0,-0.6965423146662401,-0.6046271427699828,1.9999999138316809,0,11,11,1,12
12,2400,9400,constrained,12,24,8,0,8,-1.1540060426136705,-4.369729446050037,-0.2308012085227341,-4.369729446050037,-0.5829310276065109,-1.1021457961707737,1.9997133394206978,0,0,0,1,11
12,2401,9401,clean,12,24,0,0,0,-0.5364127104118174,0.2864075059043212,-0.10728254208236349,0.2864075059043212,-0.5288769137966378,-0.5288769137966378,0.0,0,0,0,1,0
12,2401,9401,unconstrained,12,24,7,0,7,-1.2880806371601272,-4.701243999013335,-0.25761612743202544,-4.701243999013335,-0.6900080531734453,-0.47729128787260144,1.9999986576660147,0,11,11,1,12
12,2401,9401,constrained,12,24,2,0,2,0.16610651150158437,-2.7857032212657167,0.03322130230031688,-2.7857032212657167,-0.6009518102544642,-0.930282623494976,1.9999986576660147,0,0,0,0,12
12,2402,9402,clean,12,24,1,0,1,-2.9164708327549898,-2.976584510154199,-0.583294166550998,-2.976584510154199,-0.5737095429001037,-0.5737095429001037,0.0,0,0,0,0,0
12,2402,9402,unconstrained,12,24,3,0,3,-6.59256248573383,-4.102682404415797,-1.318512497146766,-4.102682404415797,-0.7180732242522291,-0.7504806869185078,1.9999999999749176,0,10,10,0,12
12,2402,9402,constrained,12,24,2,0,2,-4.1905689522383085,-4.063394283310532,-0.8381137904476618,-4.063394283310532,-0.6389166982964892,-1.0405868591864413,1.9999999999749176,0,0,0,0,12
12,2403,9403,clean,12,24,1,0,1,0.31093669412879293,-2.8554853870713823,0.06218733882575859,-2.8554853870713823,-0.5637881602117273,-0.5637881602117273,0.0,0,0,0,0,0
