benchmark,rho,mechanism,kernel,kernel_low,kernel_high,kernel_width,current_kernel_width,cert_accepts,cert_rejects,learn_updates,learn_update_rate,uncertified_learning,uncertified_learning_rate,unsafe_certified,unsafe_certified_rate,stale_certified_policy,stale_certified_policy_rate,interventions,intervention_rate,final_theta,max_violation
one_dimensional,0.600000,ungated,"[-0.200,0.200]",-0.200000,0.200000,0.400000,0.400000,5,0,3,0.600000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.600000,nominal_action_filter,"[-0.200,0.200]",-0.200000,0.200000,0.400000,0.400000,5,0,3,0.600000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.600000,robust_action_filter_update_ungated,"[-0.200,0.200]",-0.200000,0.200000,0.400000,0.400000,5,0,3,0.600000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.600000,always_freeze,"[-0.200,0.200]",-0.200000,0.200000,0.400000,0.400000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
one_dimensional,0.600000,lifecycle_gate_project,"[-0.200,0.200]",-0.200000,0.200000,0.400000,0.400000,5,0,3,0.600000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.800000,ungated,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.800000,nominal_action_filter,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.800000,robust_action_filter_update_ungated,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,3,0.600000,0,0.000000,0,0.000000,5,1.000000,5,1.000000,0.200000,0.000000
one_dimensional,0.800000,always_freeze,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
one_dimensional,0.800000,lifecycle_gate_project,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,1,0.200000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,0.040000,0.000000
one_dimensional,0.833333,ungated,{0.000},0.000000,0.000000,0.000000,0.000000,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.833333,nominal_action_filter,{0.000},0.000000,0.000000,0.000000,0.000000,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.833333,robust_action_filter_update_ungated,{0.000},0.000000,0.000000,0.000000,0.000000,5,0,3,0.600000,0,0.000000,0,0.000000,5,1.000000,5,1.000000,0.200000,0.000000
one_dimensional,0.833333,always_freeze,{0.000},0.000000,0.000000,0.000000,0.000000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
one_dimensional,0.833333,lifecycle_gate_project,{0.000},0.000000,0.000000,0.000000,0.000000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,0.000000,0.000000
one_dimensional,0.900000,ungated,empty,,,0.000000,0.000000,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.900000,nominal_action_filter,empty,,,0.000000,0.000000,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.200000,0.000000
one_dimensional,0.900000,robust_action_filter_update_ungated,empty,,,0.000000,0.000000,0,5,3,0.600000,3,0.600000,0,0.000000,0,0.000000,5,1.000000,0.200000,0.000000
one_dimensional,0.900000,always_freeze,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
one_dimensional,0.900000,lifecycle_gate_project,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
one_dimensional,1.000000,ungated,empty,,,0.000000,0.000000,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.200000,0.000000
