benchmark,rho,mechanism,kernel,kernel_low,kernel_high,kernel_width,current_kernel_width,cert_accepts,cert_rejects,learn_updates,learn_update_rate,uncertified_learning,uncertified_learning_rate,unsafe_certified,unsafe_certified_rate,stale_certified_policy,stale_certified_policy_rate,interventions,intervention_rate,final_theta,max_violation
two_tank_nonlinear,0.100000,ungated,"[-0.180,0.180]",-0.180000,0.180000,0.360000,0.360000,5,0,3,0.600000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.100000,nominal_action_filter,"[-0.180,0.180]",-0.180000,0.180000,0.360000,0.360000,5,0,3,0.600000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.100000,robust_action_filter_update_ungated,"[-0.180,0.180]",-0.180000,0.180000,0.360000,0.360000,5,0,3,0.600000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.100000,always_freeze,"[-0.180,0.180]",-0.180000,0.180000,0.360000,0.360000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
two_tank_nonlinear,0.100000,lifecycle_gate_project,"[-0.180,0.180]",-0.180000,0.180000,0.360000,0.360000,5,0,3,0.600000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.200000,ungated,"[-0.180,0.071]",-0.180000,0.071491,0.251491,0.251491,5,0,3,0.600000,0,0.000000,4,0.800000,4,0.800000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.200000,nominal_action_filter,"[-0.180,0.071]",-0.180000,0.071491,0.251491,0.251491,5,0,3,0.600000,0,0.000000,4,0.800000,4,0.800000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.200000,robust_action_filter_update_ungated,"[-0.180,0.071]",-0.180000,0.071491,0.251491,0.251491,5,0,3,0.600000,0,0.000000,0,0.000000,4,0.800000,4,0.800000,0.180000,0.000000
two_tank_nonlinear,0.200000,always_freeze,"[-0.180,0.071]",-0.180000,0.071491,0.251491,0.251491,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
two_tank_nonlinear,0.200000,lifecycle_gate_project,"[-0.180,0.071]",-0.180000,0.071491,0.251491,0.251491,5,0,2,0.400000,0,0.000000,0,0.000000,0,0.000000,4,0.800000,0.071491,0.000000
two_tank_nonlinear,0.300000,ungated,"[-0.180,-0.051]",-0.180000,-0.050943,0.129057,0.129057,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.300000,nominal_action_filter,"[-0.180,-0.051]",-0.180000,-0.050943,0.129057,0.129057,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.300000,robust_action_filter_update_ungated,"[-0.180,-0.051]",-0.180000,-0.050943,0.129057,0.129057,5,0,3,0.600000,0,0.000000,0,0.000000,5,1.000000,5,1.000000,0.180000,0.000000
two_tank_nonlinear,0.300000,always_freeze,"[-0.180,-0.051]",-0.180000,-0.050943,0.129057,0.129057,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
two_tank_nonlinear,0.300000,lifecycle_gate_project,"[-0.180,-0.051]",-0.180000,-0.050943,0.129057,0.129057,5,0,1,0.200000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,-0.050943,0.000000
two_tank_nonlinear,0.400000,ungated,"[-0.159,-0.130]",-0.159212,-0.130000,0.029212,0.029212,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.400000,nominal_action_filter,"[-0.159,-0.130]",-0.159212,-0.130000,0.029212,0.029212,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.400000,robust_action_filter_update_ungated,"[-0.159,-0.130]",-0.159212,-0.130000,0.029212,0.029212,5,0,3,0.600000,0,0.000000,0,0.000000,5,1.000000,5,1.000000,0.180000,0.000000
two_tank_nonlinear,0.400000,always_freeze,"[-0.159,-0.130]",-0.159212,-0.130000,0.029212,0.029212,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
two_tank_nonlinear,0.400000,lifecycle_gate_project,"[-0.159,-0.130]",-0.159212,-0.130000,0.029212,0.029212,5,0,1,0.200000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,-0.130000,0.000000
two_tank_nonlinear,0.450000,ungated,empty,,,0.000000,0.000000,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.450000,nominal_action_filter,empty,,,0.000000,0.000000,5,0,3,0.600000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,0.180000,0.000000
two_tank_nonlinear,0.450000,robust_action_filter_update_ungated,empty,,,0.000000,0.000000,0,5,3,0.600000,3,0.600000,0,0.000000,0,0.000000,5,1.000000,0.180000,0.000000
two_tank_nonlinear,0.450000,always_freeze,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
two_tank_nonlinear,0.450000,lifecycle_gate_project,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.000000
