benchmark,rho,mechanism,kernel,kernel_low,kernel_high,kernel_width,current_kernel_width,cert_accepts,cert_rejects,learn_updates,learn_update_rate,uncertified_learning,uncertified_learning_rate,unsafe_certified,unsafe_certified_rate,stale_certified_policy,stale_certified_policy_rate,interventions,intervention_rate,final_theta,max_violation
parameter_matrix_policy,0.050000,ungated,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.875000
parameter_matrix_policy,0.050000,robust_action_filter_update_ungated,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.875000
parameter_matrix_policy,0.050000,always_freeze,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(0.000000,0.000000,0.000000)",0.000000
parameter_matrix_policy,0.050000,lifecycle_gate_project,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(0.335791,0.092781,-0.000000)",0.000000
parameter_matrix_policy,0.200000,ungated,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.875000
parameter_matrix_policy,0.200000,robust_action_filter_update_ungated,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.875000
parameter_matrix_policy,0.200000,always_freeze,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(0.000000,0.000000,0.000000)",0.000000
parameter_matrix_policy,0.200000,lifecycle_gate_project,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(0.335791,0.092781,-0.000000)",0.000000
parameter_matrix_policy,0.350000,ungated,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.875000
parameter_matrix_policy,0.350000,robust_action_filter_update_ungated,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.875000
parameter_matrix_policy,0.350000,always_freeze,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(0.000000,0.000000,0.000000)",0.000000
parameter_matrix_policy,0.350000,lifecycle_gate_project,"[-0.150,0.150]",-0.150000,0.150000,0.300000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(0.335791,0.092781,-0.000000)",0.000000
parameter_matrix_policy,0.450000,ungated,"[-0.150,0.150]",-0.150000,0.150000,0.254000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.921000
parameter_matrix_policy,0.450000,robust_action_filter_update_ungated,"[-0.150,0.150]",-0.150000,0.150000,0.254000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.921000
parameter_matrix_policy,0.450000,always_freeze,"[-0.150,0.150]",-0.150000,0.150000,0.254000,0.300000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(0.000000,0.000000,0.000000)",0.000000
parameter_matrix_policy,0.450000,lifecycle_gate_project,"[-0.150,0.150]",-0.150000,0.150000,0.254000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(0.238635,0.058508,-0.000000)",0.000000
parameter_matrix_policy,0.500000,ungated,"[-0.150,0.150]",-0.150000,0.150000,0.198000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.977000
parameter_matrix_policy,0.500000,robust_action_filter_update_ungated,"[-0.150,0.150]",-0.150000,0.150000,0.198000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(1.400000,1.100000,0.150000)",0.977000
parameter_matrix_policy,0.500000,always_freeze,"[-0.150,0.150]",-0.150000,0.150000,0.198000,0.300000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(0.000000,0.000000,0.000000)",0.000000
parameter_matrix_policy,0.500000,lifecycle_gate_project,"[-0.150,0.150]",-0.150000,0.150000,0.198000,0.300000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(0.085430,0.051713,-0.000000)",0.000000
