mechanism,init_x,init_x_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,mean_reward
action_only_snapshot,0.0,0.0,-0.15,-1.0,120,13,5,-1.4337146522388358
action_only_snapshot,0.0,0.0,-0.15,-0.75,120,9,11,-1.3057445461761141
action_only_snapshot,0.0,0.0,-0.15,-0.5,120,8,112,-1.2336172781205275
action_only_snapshot,0.0,0.0,-0.15,0.0,120,15,105,-1.2033868578334004
action_only_snapshot,0.0,0.0,-0.15,0.5,120,23,97,-1.2564776607252175
action_only_snapshot,0.0,0.0,-0.15,0.75,120,28,92,-1.3120516634188637
action_only_snapshot,0.0,0.0,-0.15,1.0,120,34,86,-1.3970929024773378
action_only_snapshot,0.0,0.0,-0.1,-1.0,120,10,10,-1.3034618029460796
action_only_snapshot,0.0,0.0,-0.1,-0.75,120,7,113,-1.218599477672312
action_only_snapshot,0.0,0.0,-0.1,-0.5,120,10,110,-1.1761501358630728
action_only_snapshot,0.0,0.0,-0.1,0.0,120,17,103,-1.1724462549869152
action_only_snapshot,0.0,0.0,-0.1,0.5,120,25,95,-1.2493293877415652
action_only_snapshot,0.0,0.0,-0.1,0.75,120,30,90,-1.3271501234889191
action_only_snapshot,0.0,0.0,-0.1,1.0,120,37,83,-1.4341516091379518
action_only_snapshot,0.0,0.0,-0.05,-1.0,120,6,114,-1.2088032620683744
action_only_snapshot,0.0,0.0,-0.05,-0.75,120,8,112,-1.1545782417351098
action_only_snapshot,0.0,0.0,-0.05,-0.5,120,11,109,-1.1333505564182613
action_only_snapshot,0.0,0.0,-0.05,0.0,120,18,102,-1.1501526681154621
action_only_snapshot,0.0,0.0,-0.05,0.5,120,27,93,-1.262711365177609
action_only_snapshot,0.0,0.0,-0.05,0.75,120,33,87,-1.36272406465329
action_only_snapshot,0.0,0.0,-0.05,1.0,120,40,80,-1.491815322598875
action_only_snapshot,0.0,0.0,0.05,-1.0,120,9,111,-1.0827609424676297
action_only_snapshot,0.0,0.0,0.05,-0.75,120,11,109,-1.0630859785217421
action_only_snapshot,0.0,0.0,0.05,-0.5,120,14,106,-1.064275357161537
action_only_snapshot,0.0,0.0,0.05,0.0,120,21,99,-1.1499164809274078
action_only_snapshot,0.0,0.0,0.05,0.5,120,32,88,-1.3529143202587575
action_only_snapshot,0.0,0.0,0.05,0.75,120,39,81,-1.4985311290074776
action_only_snapshot,0.0,0.0,0.05,1.0,120,47,73,-1.6735690280770013
action_only_snapshot,0.0,0.0,0.1,-1.0,120,10,110,-1.0364951545682008
action_only_snapshot,0.0,0.0,0.1,-0.75,120,12,108,-1.0292481323700646
action_only_snapshot,0.0,0.0,0.1,-0.5,120,15,105,-1.050620290270963
action_only_snapshot,0.0,0.0,0.1,0.0,120,23,97,-1.1818677383757665
action_only_snapshot,0.0,0.0,0.1,0.5,120,35,85,-1.4318808831664847
action_only_snapshot,0.0,0.0,0.1,0.75,120,43,77,-1.6016192513101524
action_only_snapshot,0.0,0.0,0.1,1.0,120,52,68,-1.8185642931402648
action_only_snapshot,0.0,0.0,0.15,-1.0,120,10,110,-0.9997173746636959
action_only_snapshot,0.0,0.0,0.15,-0.75,120,13,107,-1.0141240853909457
action_only_snapshot,0.0,0.0,0.15,-0.5,120,16,104,-1.0582680903708146
action_only_snapshot,0.0,0.0,0.15,0.0,120,25,95,-1.236517469449469
action_only_snapshot,0.0,0.0,0.15,0.5,120,39,81,-1.5357267340573837
action_only_snapshot,0.0,0.0,0.15,0.75,120,48,72,-1.747790060101041
action_only_snapshot,0.0,0.0,0.15,1.0,120,60,60,-2.031686863276516
always_freeze_snapshot,0.0,0.0,-0.15,-1.0,120,0,,-0.580621654876358
always_freeze_snapshot,0.0,0.0,-0.15,-0.75,114,0,,-0.4089667761193023
always_freeze_snapshot,0.0,0.0,-0.15,-0.5,108,0,,-0.27761638233049174
always_freeze_snapshot,0.0,0.0,-0.15,0.0,93,0,,-0.09714507255813115
always_freeze_snapshot,0.0,0.0,-0.15,0.5,22,0,,-0.029004470859259945
