benchmark,task,controller,mechanism,kernel_backend,attack_kernel_backend,steps,budget,plausible_radius,future_grid_points,action_grid_size,mean_reward,constraint_violation_steps,constraint_violation_step_rate,unsafe_certified_steps,unsafe_certified_rate,stale_certified_policy_steps,stale_certified_policy_rate,uncertified_learning_steps,uncertified_learning_rate,learn_updates,learn_update_rate,interventions,intervention_rate,empty_kernel_steps,empty_kernel_rate,mean_kernel_width,mean_action_correction,mean_param_projection_norm,mean_attack_linf,mean_attacker_score,final_theta_gain,final_bias,max_param_violation
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,6,0.01,0.01,9,41,-4.852445465224829,0,0.0,0,0.0,3,0.5,6,1.0,6,1.0,4,0.6666666666666666,2,0.3333333333333333,10.916666666666666,0.19407575893786655,0.0,0.008330511003244489,1.9773936693321923,18.0,-4.2,3.6134850696904515
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,6,0.01,0.01,9,41,-3.4119220732844773,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,2,0.3333333333333333,13.333333333333334,0.08195064480272984,0.0,0.008330776599866674,1.7666392279631637,0.0,0.0,2.4334850696904518
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,6,0.01,0.01,9,41,-3.609632817509073,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,5,0.8333333333333334,2,0.3333333333333333,13.083333333333334,0.14955121516616066,0.5946836634394532,0.009997320340670296,1.6220365431574566,17.436273780079492,-0.6767111254968299,4.440892098500626e-16
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,6,0.02,0.02,9,41,-4.926560390941947,0,0.0,0,0.0,2,0.3333333333333333,6,1.0,6,1.0,3,0.5,3,0.5,7.416666666666667,0.07531601745094862,0.0,0.01666166206599138,2.710074457053738,18.0,-4.2,3.5641174620335887
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,6,0.02,0.02,9,41,-3.5012233862121085,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,3,0.5,9.916666666666666,0.0855958779492818,0.0,0.014080717854425717,2.3734864005899756,0.0,0.0,2.406285589613155
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,6,0.02,0.02,9,41,-3.7734461816342217,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,4,0.6666666666666666,3,0.5,9.666666666666666,0.10885358911941956,0.587220748956278,0.01666166206599138,2.218486553489249,17.468457437278303,-0.7170015802204217,0.0
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,6,0.03,0.03,9,41,-5.0329718490955955,0,0.0,0,0.0,1,0.16666666666666666,6,1.0,6,1.0,1,0.16666666666666666,5,0.8333333333333334,2.0,0.3032675647525555,0.0,0.028062716834998485,3.793615204422523,18.0,-4.2,3.8811534368236558
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,6,0.03,0.03,9,41,-3.7178581576345615,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,4,0.6666666666666666,6.083333333333333,0.0481212219605327,0.0,0.023062716834998484,2.8873180332395285,0.0,0.0,2.1214701612940807
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,6,0.03,0.03,9,41,-4.178725030056517,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,3,0.5,4,0.6666666666666666,4.916666666666667,0.07310295655222158,0.5372004413220303,0.028062716834998485,2.772182980256329,17.53693068794239,-1.0102347857769345,4.440892098500626e-16
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,6,0.04,0.04,9,41,-5.176279240779262,0,0.0,0,0.0,1,0.16666666666666666,6,1.0,6,1.0,1,0.16666666666666666,5,0.8333333333333334,1.8333333333333333,0.5217205174490603,0.0,0.03998977729115528,3.9346400271982525,18.0,-2.8,4.847483307842866
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,6,0.04,0.04,9,41,-3.9366439965370756,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,4,0.6666666666666666,5.75,0.03962464918764219,0.0,0.03793063584295032,2.881916656171507,0.0,0.0,0.0
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,6,0.04,0.04,9,41,-4.693147766124848,0,0.0,0,0.0,0,0.0,0,0.0,5,0.8333333333333334,4,0.6666666666666666,4,0.6666666666666666,4.25,0.041759211671399066,0.4381304868397972,0.03998977729115528,2.986358157987318,14.58467726900442,-0.9042329312776209,1.1102230246251565e-16
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,6,0.05,0.05,9,41,-5.712515800875497,1,0.16666666666666666,0,0.0,0,0.0,6,1.0,6,1.0,0,0.0,6,1.0,0.0,0.0,0.0,0.04998716823707055,4.286695366406122,18.0,-2.8,1.6831211470479
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,6,0.05,0.05,9,41,-4.116218408697313,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,5,0.8333333333333334,2.6666666666666665,0.036595427044210226,0.0,0.04999987437581658,3.3875333214548675,0.0,0.0,0.0
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,6,0.05,0.05,9,41,-4.775490624607172,0,0.0,0,0.0,0,0.0,0,0.0,5,0.8333333333333334,4,0.6666666666666666,4,0.6666666666666666,4.0,0.07306012074359287,0.500624073235984,0.049999999999999996,3.165242058254982,14.55442318937034,-0.5294879291356069,0.0
