sweep_label,mechanism,budget,kernel_backend,attack_kernel_backend,seeds,steps,action_grid_size,constraint_violation_step_rate_mean,constraint_violation_step_rate_std,stale_certified_policy_rate_mean,stale_certified_policy_rate_std,uncertified_learning_rate_mean,uncertified_learning_rate_std,learn_update_rate_mean,learn_update_rate_std,intervention_rate_mean,intervention_rate_std,empty_kernel_rate_mean,empty_kernel_rate_std,mean_kernel_width_mean,mean_kernel_width_std,mean_reward_mean,mean_reward_std
primary_casadi,always_freeze,0.03,casadi,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,6.166666666666666,0.08333333333333348,-3.7299507256027296,0.012092567968168044
primary_casadi,attacked_lqr_update_ungated,0.03,casadi,euler,2,6,41,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,2.041666666666667,0.04166666666666674,-5.230212897350995,0.01783937976225669
primary_casadi,lifecycle_gate_project,0.03,casadi,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,4.958333333333334,0.04166666666666652,-4.191569986721873,0.012844956665356566
primary_casadi,plausible_action_filter_update_ungated,0.03,casadi,euler,2,6,41,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,3.791666666666667,0.04166666666666674,-5.07178736031269,0.01811360965454023
freeze_frontier_casadi,always_freeze,0.02,casadi,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,9.75,0.16666666666666607,-3.579123010365726,0.0778996241536174
freeze_frontier_casadi,lifecycle_gate_project,0.02,casadi,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.5,0.0,9.416666666666666,0.25,-3.7762276263961514,0.0027814447619294302
freeze_frontier_casadi,plausible_action_filter_update_ungated,0.02,casadi,euler,2,6,41,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,7.416666666666667,0.0,-4.918682487835479,0.007877903106467077
freeze_frontier_casadi,always_freeze,0.04,casadi,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,5.708333333333334,0.04166666666666652,-3.90695236223173,0.029691634305345715
freeze_frontier_casadi,lifecycle_gate_project,0.04,casadi,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,4.166666666666666,0.08333333333333348,-4.732786053749992,0.03963828762514465
freeze_frontier_casadi,plausible_action_filter_update_ungated,0.04,casadi,euler,2,6,41,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,1.9166666666666665,0.08333333333333337,-5.16953364504732,0.006745595731942888
freeze_frontier_casadi,always_freeze,0.06,casadi,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,0.0,2.166666666666667,0.08333333333333326,-4.355762317531091,0.04002760915330761
freeze_frontier_casadi,lifecycle_gate_project,0.06,casadi,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5833333333333333,0.08333333333333331,1.0,0.0,0.0,0.0,-5.517974492279014,0.02906060808015276
freeze_frontier_casadi,plausible_action_filter_update_ungated,0.06,casadi,euler,2,6,41,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.093907895065991,0.053966064521900226
cbf_sampled_reference,always_freeze,0.015,cbf_sampled,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,6.833333333333333,0.0,-3.5213698169404424,0.013868098609393531
cbf_sampled_reference,attacked_lqr_update_ungated,0.015,cbf_sampled,euler,2,6,41,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,6.75,0.0,-4.869218381223206,0.003215098420331408
cbf_sampled_reference,lifecycle_gate_project,0.015,cbf_sampled,euler,2,6,41,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.5,0.0,6.708333333333334,0.04166666666666652,-3.2150285570676607,0.012881353913756
cbf_sampled_reference,plausible_action_filter_update_ungated,0.015,cbf_sampled,euler,2,6,41,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,6.833333333333333,0.0,-4.6967257028349465,0.011924915083506349
