sweep_label,mechanism,budget,kernel_backend,attack_kernel_backend,seeds,steps,action_grid_size,constraint_violation_step_rate_mean,constraint_violation_step_rate_std,stale_certified_policy_rate_mean,stale_certified_policy_rate_std,uncertified_learning_rate_mean,uncertified_learning_rate_std,learn_update_rate_mean,learn_update_rate_std,intervention_rate_mean,intervention_rate_std,empty_kernel_rate_mean,empty_kernel_rate_std,mean_kernel_width_mean,mean_kernel_width_std,mean_reward_mean,mean_reward_std
primary_casadi,always_freeze,0.02,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,5.0,0.0,-4.459662855647117,0.06287509676459146
primary_casadi,attacked_lqr_update_ungated,0.02,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,5.0,0.0,-5.612359863287015,0.0
primary_casadi,lifecycle_gate_project,0.02,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.75,0.0,5.0,0.0,-4.588987739700817,0.1273380739696104
primary_casadi,plausible_action_filter_update_ungated,0.02,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.75,0.0,5.0,0.0,-5.659747943983486,0.0
primary_casadi,always_freeze,0.03,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-4.687121725604223,0.0019009174841539966
primary_casadi,attacked_lqr_update_ungated,0.03,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.020406007881078,0.005566043869680737
primary_casadi,lifecycle_gate_project,0.03,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,-5.023008619005853,0.04242663419871029
primary_casadi,plausible_action_filter_update_ungated,0.03,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.020406007881078,0.005566043869680737
freeze_frontier_casadi,always_freeze,0.02,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,5.0,0.0,-4.459662855647117,0.06287509676459146
freeze_frontier_casadi,lifecycle_gate_project,0.02,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.75,0.0,5.0,0.0,-4.588987739700817,0.1273380739696104
freeze_frontier_casadi,plausible_action_filter_update_ungated,0.02,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.75,0.0,5.0,0.0,-5.659747943983486,0.0
freeze_frontier_casadi,always_freeze,0.04,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-4.854948530351679,0.002704330971928126
freeze_frontier_casadi,lifecycle_gate_project,0.04,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.0,-5.6978262137027915,0.007449809036740973
freeze_frontier_casadi,plausible_action_filter_update_ungated,0.04,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.177007389735213,0.007926283578198579
freeze_frontier_casadi,always_freeze,0.06,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-5.217430187822577,0.0045662063625617755
freeze_frontier_casadi,lifecycle_gate_project,0.06,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.375,0.125,1.0,0.0,0.0,0.0,-6.137993176763528,0.01157946128800802
freeze_frontier_casadi,plausible_action_filter_update_ungated,0.06,casadi,euler,2,4,41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.512042801342617,0.004355586628526531
cbf_sampled_reference,always_freeze,0.015,cbf_sampled,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,3.875,0.0,-4.396632973435197,0.003235266042525886
cbf_sampled_reference,attacked_lqr_update_ungated,0.015,cbf_sampled,euler,2,4,41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,3.75,0.0,-5.612359863287015,0.0
cbf_sampled_reference,lifecycle_gate_project,0.015,cbf_sampled,euler,2,4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.75,0.0,3.6875,0.0625,-3.9732267233196854,0.030073370845671965
cbf_sampled_reference,plausible_action_filter_update_ungated,0.015,cbf_sampled,euler,2,4,41,0.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.75,0.0,3.75,0.0,-5.390982394533143,0.0
