benchmark,task,controller,mechanism,kernel_backend,attack_kernel_backend,steps,budget,plausible_radius,future_grid_points,action_grid_size,mean_reward,constraint_violation_steps,constraint_violation_step_rate,unsafe_certified_steps,unsafe_certified_rate,stale_certified_policy_steps,stale_certified_policy_rate,uncertified_learning_steps,uncertified_learning_rate,learn_updates,learn_update_rate,interventions,intervention_rate,empty_kernel_steps,empty_kernel_rate,mean_kernel_width,mean_action_correction,mean_param_projection_norm,mean_attack_linf,mean_attacker_score,final_theta_gain,final_bias,max_param_violation,sweep_label,seed
safe_control_gym,cartpole,lqr_plus_linear_residual,attacked_lqr_update_ungated,casadi,euler,4,0.02,0.02,9,41,-5.612359863287015,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,3,0.75,5.0,0.0,0.0,0.014992493098987068,12.362823009243224,12.0,-2.8,3.5641174620335887,primary_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,4,0.02,0.02,9,41,-5.659747943983486,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,1,0.25,3,0.75,5.0,0.06054453441523355,0.0,0.014992493098987068,12.362823009243224,12.0,-2.8,3.5641174620335887,primary_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,4,0.02,0.02,9,41,-4.396787758882526,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,3,0.75,5.0,0.021376313462285967,0.0,0.01766555806248709,10.689472031098392,0.0,0.0,2.406285589613155,primary_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,4,0.02,0.02,9,41,-4.4616496657312075,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,2,0.5,3,0.75,5.0,0.059795597069918105,0.8808311234344169,0.01999249309898707,9.395610800171816,11.468457437278301,0.6829984197795782,0.0,primary_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,attacked_lqr_update_ungated,casadi,euler,4,0.03,0.03,9,41,-6.02597205175076,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,4,1.0,0.0,0.0,0.0,0.027094075252497726,14.13535166370344,12.0,-2.8,3.2569905970861543,primary_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,4,0.03,0.03,9,41,-6.02597205175076,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,4,1.0,0.0,0.0,0.0,0.027094075252497726,14.13535166370344,12.0,-2.8,3.2569905970861543,primary_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,4,0.03,0.03,9,41,-4.685220808120069,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0.0,0.0,0.0,0.027094075252497726,11.961100704157284,0.0,0.0,2.1214701612940807,primary_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,4,0.03,0.03,9,41,-5.065435253204563,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,1,0.25,4,1.0,0.0,0.0,0.8058006619830455,0.027094075252497726,11.013869099066657,11.536930687942391,0.3897652142230654,4.440892098500626e-16,primary_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,attacked_lqr_update_ungated,casadi,euler,4,0.02,0.02,9,41,-5.612359863287015,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,3,0.75,5.0,0.0,0.0,0.014999679738758768,12.439304047595307,12.0,-2.8,3.625020131810695,primary_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,4,0.02,0.02,9,41,-5.659747943983486,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,1,0.25,3,0.75,5.0,0.06054453441523355,0.0,0.014999679738758768,12.439304047595307,12.0,-2.8,3.625020131810695,primary_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,4,0.02,0.02,9,41,-4.522537952411709,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,3,0.75,5.0,0.01313019191281084,0.0,0.019999039563511352,10.75096362825284,0.0,0.0,2.4633276511358364,primary_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,4,0.02,0.02,9,41,-4.716325813670428,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,2,0.5,3,0.75,5.0,0.05490818733663838,0.8957099131834055,0.01999967973875877,9.413695640764631,11.455025893342057,0.7411499827418715,0.0,primary_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,attacked_lqr_update_ungated,casadi,euler,4,0.03,0.03,9,41,-6.014839964011398,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,4,1.0,0.0,0.0,0.0,0.029611456417721994,14.131837877762555,12.0,-2.8,3.5039978218037087,primary_casadi,2027
