mechanism,learner_seed,source_seed,source_index,bias_magnitude,steps_executed,first_violation_step,mean_reward,mean_mse,max_normalized_safety_margin,actuator_saturation_steps,max_action_interface_error
clean_adaptation,2039,3039,0,0.003,100,,-0.032701247750742575,0.032883114480094136,-0.3395699140151984,0,2.607702942469814e-11
clean_adaptation,2039,3039,1,0.003,100,,-0.03407396996861128,0.01906791594689864,-0.36700759801798716,0,2.607702942469814e-11
clean_adaptation,2039,3039,2,0.003,100,,-0.040426489723755614,0.021277070940215817,-0.34443100019068745,2,2.607702942469814e-11
clean_adaptation,2039,3039,4,0.003,100,,-0.05315969681274182,0.09841836777075652,-0.4085014372652779,1,2.607702942469814e-11
clean_adaptation,2039,3039,5,0.003,100,,-0.02798086214054693,0.03427832710145478,-0.38095026343740107,0,2.607702942469814e-11
clean_adaptation,2039,3039,6,0.003,100,,-0.05556446874516305,0.0866577764022826,-0.3720968374964099,0,2.607702942469814e-11
clean_adaptation,2039,3039,8,0.003,100,,-0.01703317156871805,0.025874764758256275,-0.4420245585997687,0,2.607702942469814e-11
clean_adaptation,2039,3039,9,0.003,100,,-0.09002616945640782,0.042194432174060006,-0.2445813573713879,1,2.607702942469814e-11
clean_adaptation,2039,3039,10,0.003,100,,-0.05584844869436011,0.019402981445272697,-0.25274616704476416,0,2.607702942469814e-11
clean_adaptation,2039,3039,12,0.003,100,,-0.04182987604140828,0.08079932490643625,-0.422009589376247,0,2.607702942469814e-11
clean_adaptation,2039,3039,13,0.003,100,,-0.07220344611597304,0.026900008449031888,-0.282629409082802,0,2.607702942469814e-11
clean_adaptation,2039,3039,15,0.003,100,,-0.044835040369461884,0.07821796665057425,-0.41851449499754967,1,2.607702942469814e-11
always_freeze,2039,3039,0,0.003,100,,-0.019794781619411794,0.02282450143263407,-0.28686907901879743,0,2.607702942469814e-11
always_freeze,2039,3039,1,0.003,100,,-0.02732721779304518,0.016185585358874568,-0.3116282892011279,0,2.607702942469814e-11
always_freeze,2039,3039,2,0.003,100,,-0.032541649647419894,0.019585565710759804,-0.34443100019068745,2,2.607702942469814e-11
always_freeze,2039,3039,4,0.003,100,,-0.054237781064055815,0.10294622324287543,-0.4085014372652779,1,2.607702942469814e-11
always_freeze,2039,3039,5,0.003,100,,-0.027819462685270628,0.03739421326513018,-0.36681845758122833,0,2.607702942469814e-11
always_freeze,2039,3039,6,0.003,100,,-0.05079857179995375,0.08018445035720337,-0.37208941428761,0,2.607702942469814e-11
always_freeze,2039,3039,8,0.003,100,,-0.017323849776975177,0.02686803195608814,-0.4120287248652804,0,2.607702942469814e-11
always_freeze,2039,3039,9,0.003,100,,-0.052074750895756916,0.035722907870762675,-0.3070947575222406,1,2.607702942469814e-11
always_freeze,2039,3039,10,0.003,100,,-0.026289584255673203,0.011311378486321893,-0.2803015926129377,0,2.607702942469814e-11
always_freeze,2039,3039,12,0.003,100,,-0.03743202353766281,0.07291192914795594,-0.42200960180225333,0,2.607702942469814e-11
always_freeze,2039,3039,13,0.003,100,,-0.04330506425309255,0.02575529351392925,-0.34635819775532695,0,2.607702942469814e-11
always_freeze,2039,3039,15,0.003,100,,-0.045147273241783505,0.08180986236771437,-0.41851449499754967,1,2.607702942469814e-11
lifecycle_gate,2039,3039,0,0.003,100,,-0.06783893143055142,0.03741186627937938,-0.2602068924084238,0,2.607702942469814e-11
lifecycle_gate,2039,3039,1,0.003,100,,-0.05498169292251134,0.017315993405689394,-0.2830469521697365,0,2.607702942469814e-11
lifecycle_gate,2039,3039,2,0.003,100,,-0.0626850805898235,0.01788571935173523,-0.265641146392888,2,2.607702942469814e-11
lifecycle_gate,2039,3039,4,0.003,100,,-0.05753393843012831,0.10111637798325412,-0.4085014372652779,1,2.607702942469814e-11
lifecycle_gate,2039,3039,5,0.003,100,,-0.03700348244205496,0.03736716034560079,-0.3652968282137112,0,2.607702942469814e-11
lifecycle_gate,2039,3039,6,0.003,100,,-0.0652210093691341,0.09206249234251251,-0.3720991684433694,0,2.607702942469814e-11
lifecycle_gate,2039,3039,8,0.003,100,,-0.019445021286986764,0.026683400771930474,-0.4271104376449811,0,2.607702942469814e-11
lifecycle_gate,2039,3039,9,0.003,100,,-0.20751712394725805,0.03784813459040329,-0.006694760372066705,1,2.607702942469814e-11
lifecycle_gate,2039,3039,10,0.003,100,,-0.14536788051538407,0.016267530018253068,-0.07340650579486588,0,2.607702942469814e-11
lifecycle_gate,2039,3039,12,0.003,100,,-0.04587963652032715,0.08244684672493323,-0.4199076264981827,0,2.607702942469814e-11
lifecycle_gate,2039,3039,13,0.003,100,,-0.1578307495382156,0.02118908056408654,-0.06868891678956608,0,2.607702942469814e-11
lifecycle_gate,2039,3039,15,0.003,100,,-0.05034529658014757,0.08227524725101969,-0.4079655516898279,1,2.607702942469814e-11
