mechanism,seed,batch,mean_reward,gradient_norm,candidate_update_norm,accepted_fraction,accepted_update_norm,filter_interventions,filter_rejections,constraint_violations,certificate_runtime_seconds,w00,w01,w10,w11
clean_adaptation,2039,0,-0.12780016956633714,0.5,0.01,1.0,0.01,1,0,0,0.0,-0.0020234997265998872,0.0012082501054197022,0.0069966031102734905,-0.006744859187300709
clean_adaptation,2039,1,-0.1991171445464773,0.5,0.01,1.0,0.01,2,0,0,0.0,0.0025736089615772365,0.00439498647953712,0.014546686913809576,-0.0033232312778772644
clean_adaptation,2039,2,-0.09305799244562456,0.5,0.010000000000000002,1.0,0.010000000000000002,2,0,0,0.0,0.0031212646362581797,-0.0008769903002864548,0.01560124168701815,0.005090700521542901
clean_adaptation,2039,3,-0.21126668671757468,0.5,0.01,1.0,0.01,2,0,0,0.0,0.006136120048908712,-0.009016145547060312,0.015141408422395284,0.010035733593067465
clean_adaptation,2039,4,-0.07856012535019792,0.5,0.01,1.0,0.01,2,0,0,0.0,0.00802676323853784,-0.006665157243223007,0.01718537793690407,0.0007233487777536171
clean_adaptation,2039,5,-0.17898074687128204,0.5,0.009999999999999998,1.0,0.009999999999999998,2,0,0,0.0,0.0016114473929472895,-0.0017978432618087226,0.01476852984640132,-0.004690690612117592
clean_adaptation,2039,6,-0.11505549855806742,0.5,0.01,1.0,0.01,3,0,0,0.0,-0.0009658401696185804,0.005463984936968155,0.015012804693344234,-0.01105965990317586
clean_adaptation,2039,7,-0.18047888938123868,0.5,0.01,1.0,0.01,1,0,0,0.0,-0.0014967065539058097,-0.00310522726735762,0.0198595419867276,-0.009387559221938374
clean_adaptation,2039,8,-0.13645970832633214,0.5,0.01,1.0,0.01,1,0,0,0.0,-0.0011709118960539183,0.005910476278051499,0.02178491595371259,-0.013248113911289258
clean_adaptation,2039,9,-0.2088025603864246,0.5,0.01,1.0,0.01,3,0,0,0.0,-0.0004237026972371584,0.012716393562048203,0.017850832676810324,-0.01938359735654412
clean_adaptation,2039,10,-0.19048689640836272,0.5,0.010000000000000002,1.0,0.010000000000000002,1,0,0,0.0,0.00023057143493967135,0.004074287288596228,0.01535382642990151,-0.01506493039540615
clean_adaptation,2039,11,-0.12058285126568132,0.5,0.009999999999999998,1.0,0.009999999999999998,1,0,0,0.0,-0.002029565064212849,-0.00013494077334951816,0.01576118503718102,-0.006289496440734602
always_freeze,2039,0,-0.12780016956633714,0.5,0.01,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0
always_freeze,2039,1,-0.18707297452841765,0.5,0.01,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0
always_freeze,2039,2,-0.13065201116218286,0.5,0.01,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0
always_freeze,2039,3,-0.19539348404475962,0.5,0.009999999999999998,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0
