learner_seed,mechanism,horizon,guard_margin,evaluated_pairs,certified_pairs,rejected_pairs,pybullet_safe_pairs,true_acceptances,false_acceptances,true_rejections,false_rejections,certificate_coverage,pybullet_safe_rate,false_acceptance_rate_certified,false_rejection_rate_rejected,worst_pybullet_normalized_margin_certified,max_action_interface_error
pooled,clean_reinforce_snapshot,20,0.0,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,20,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,20,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,20,0.0,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,20,0.001,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,20,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,20,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,20,0.001,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,20,0.003,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,20,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,20,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,20,0.003,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,20,0.005,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,20,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
