mechanism,rollout,init_x,init_x_dot,init_z,init_z_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,filter_interventions,filter_rejections,mean_reward
trusted_clipped_lqr,0,-0.35,0.0,0.75,0.0,-0.04,0.0,100,0,,0,0,-0.06893366016546279
trusted_clipped_lqr,1,-0.35,0.0,1.0,0.0,0.0,0.0,100,0,,0,0,-0.0430232555384448
trusted_clipped_lqr,2,-0.35,0.0,1.25,0.0,0.04,0.0,100,0,,0,0,-0.05430064015790553
trusted_clipped_lqr,3,0.0,0.0,1.0,0.0,0.04,0.0,100,0,,0,0,-0.0022753151062403125
trusted_clipped_lqr,4,0.35,0.0,0.75,0.0,0.04,0.0,100,0,,0,0,-0.06893366016546272
trusted_clipped_lqr,5,0.35,0.0,1.25,0.0,-0.04,0.0,100,0,,0,0,-0.054300640157905485
trusted_clipped_lqr,6,0.32411506934173917,-0.07743523396246832,1.085559489503674,-0.048407335834663376,0.04669622001623906,0.10076403852894678,100,0,,0,0,-0.040920321613942594
trusted_clipped_lqr,7,-0.23246710301102436,0.08990977372612308,1.1665788966920023,0.025610322404394953,-0.015489942133270783,0.10723674983511561,100,0,,0,0,-0.022469595252997694
trusted_clipped_lqr,8,0.01550737691546844,-0.0416292806852952,0.9999748125502685,-0.09757297596129166,0.04047040725533528,0.11753668022028083,100,0,,0,0,-0.0017752042155479303
trusted_clipped_lqr,9,-0.38971368980405574,0.0250357792256731,0.9952306661109187,0.02433170912169627,0.006402386386553452,0.09371018599192318,100,0,,0,0,-0.04959931182848791
trusted_clipped_lqr,10,0.10267828989047245,-0.04287895309115501,1.0872457913162579,-0.03884331774335742,0.016859278841009004,-0.08919734365390716,100,0,,0,0,-0.005331467895321624
trusted_clipped_lqr,11,-0.12497156319848451,0.04531072937113145,1.0584643392494593,-0.02175335188256032,-0.03983142429178367,-0.03526837589204629,100,0,,0,0,-0.008513366236485577
harmful_raw_snapshot,0,-0.35,0.0,0.75,0.0,-0.04,0.0,37,1,36,0,0,-0.19470863654136186
harmful_raw_snapshot,1,-0.35,0.0,1.0,0.0,0.0,0.0,19,1,18,0,0,-0.2549930865098487
harmful_raw_snapshot,2,-0.35,0.0,1.25,0.0,0.04,0.0,13,1,12,0,0,-0.3716542997659798
harmful_raw_snapshot,3,0.0,0.0,1.0,0.0,0.04,0.0,17,1,16,0,0,-0.16978532705908975
harmful_raw_snapshot,4,0.35,0.0,0.75,0.0,0.04,0.0,37,1,36,0,0,-0.1947086365413473
harmful_raw_snapshot,5,0.35,0.0,1.25,0.0,-0.04,0.0,13,1,12,0,0,-0.37165429976597564
harmful_raw_snapshot,6,0.32411506934173917,-0.07743523396246832,1.085559489503674,-0.048407335834663376,0.04669622001623906,0.10076403852894678,22,1,21,0,0,-0.1691843792327843
harmful_raw_snapshot,7,-0.23246710301102436,0.08990977372612308,1.1665788966920023,0.025610322404394953,-0.015489942133270783,0.10723674983511561,58,1,57,0,0,-0.10558046457921295
harmful_raw_snapshot,8,0.01550737691546844,-0.0416292806852952,0.9999748125502685,-0.09757297596129166,0.04047040725533528,0.11753668022028083,16,1,15,0,0,-0.18866730932327913
harmful_raw_snapshot,9,-0.38971368980405574,0.0250357792256731,0.9952306661109187,0.02433170912169627,0.006402386386553452,0.09371018599192318,17,1,16,0,0,-0.2771821135083949
harmful_raw_snapshot,10,0.10267828989047245,-0.04287895309115501,1.0872457913162579,-0.03884331774335742,0.016859278841009004,-0.08919734365390716,31,1,30,0,0,-0.10197535990772404
harmful_raw_snapshot,11,-0.12497156319848451,0.04531072937113145,1.0584643392494593,-0.02175335188256032,-0.03983142429178367,-0.03526837589204629,19,1,18,0,0,-0.16354805529872807
harmful_permanent_filter,0,-0.35,0.0,0.75,0.0,-0.04,0.0,100,0,,33,0,-0.25791144586111453
harmful_permanent_filter,1,-0.35,0.0,1.0,0.0,0.0,0.0,100,0,,48,0,-0.23304246984360774
harmful_permanent_filter,2,-0.35,0.0,1.25,0.0,0.04,0.0,100,0,,50,0,-0.26814087358737765
harmful_permanent_filter,3,0.0,0.0,1.0,0.0,0.04,0.0,100,0,,44,0,-0.2073531515167993
harmful_permanent_filter,4,0.35,0.0,0.75,0.0,0.04,0.0,100,0,,33,0,-0.2579114458584004
harmful_permanent_filter,5,0.35,0.0,1.25,0.0,-0.04,0.0,100,0,,50,0,-0.2681408735873777
harmful_permanent_filter,6,0.32411506934173917,-0.07743523396246832,1.085559489503674,-0.048407335834663376,0.04669622001623906,0.10076403852894678,100,0,,36,0,-0.27320349064633787
harmful_permanent_filter,7,-0.23246710301102436,0.08990977372612308,1.1665788966920023,0.025610322404394953,-0.015489942133270783,0.10723674983511561,100,0,,33,0,-0.1638277946715768
harmful_permanent_filter,8,0.01550737691546844,-0.0416292806852952,0.9999748125502685,-0.09757297596129166,0.04047040725533528,0.11753668022028083,100,0,,45,0,-0.21388835480143242
harmful_permanent_filter,9,-0.38971368980405574,0.0250357792256731,0.9952306661109187,0.02433170912169627,0.006402386386553452,0.09371018599192318,100,0,,48,0,-0.24469706345426767
harmful_permanent_filter,10,0.10267828989047245,-0.04287895309115501,1.0872457913162579,-0.03884331774335742,0.016859278841009004,-0.08919734365390716,100,0,,37,0,-0.19556590972541227
harmful_permanent_filter,11,-0.12497156319848451,0.04531072937113145,1.0584643392494593,-0.02175335188256032,-0.03983142429178367,-0.03526837589204629,100,0,,39,0,-0.2220666137203008
poisoned_always_freeze_snapshot,0,-0.35,0.0,0.75,0.0,-0.04,0.0,100,0,,0,0,-0.06893366016546279
poisoned_always_freeze_snapshot,1,-0.35,0.0,1.0,0.0,0.0,0.0,100,0,,0,0,-0.0430232555384448
poisoned_always_freeze_snapshot,2,-0.35,0.0,1.25,0.0,0.04,0.0,100,0,,0,0,-0.05430064015790553
poisoned_always_freeze_snapshot,3,0.0,0.0,1.0,0.0,0.04,0.0,100,0,,0,0,-0.0022753151062403125
poisoned_always_freeze_snapshot,4,0.35,0.0,0.75,0.0,0.04,0.0,100,0,,0,0,-0.06893366016546272
poisoned_always_freeze_snapshot,5,0.35,0.0,1.25,0.0,-0.04,0.0,100,0,,0,0,-0.054300640157905485
poisoned_always_freeze_snapshot,6,0.32411506934173917,-0.07743523396246832,1.085559489503674,-0.048407335834663376,0.04669622001623906,0.10076403852894678,100,0,,0,0,-0.040920321613942594
poisoned_always_freeze_snapshot,7,-0.23246710301102436,0.08990977372612308,1.1665788966920023,0.025610322404394953,-0.015489942133270783,0.10723674983511561,100,0,,0,0,-0.022469595252997694
poisoned_always_freeze_snapshot,8,0.01550737691546844,-0.0416292806852952,0.9999748125502685,-0.09757297596129166,0.04047040725533528,0.11753668022028083,100,0,,0,0,-0.0017752042155479303
