learner_seed,source_seed,source_index,steps_executed,violation_steps,first_violation_step,interventions,infeasible_steps,mean_correction,max_correction,mean_reward
2040,3040,0,100,0,,100,0,4.869302839952411e-08,1.1167483650532384e-07,-0.013987008035397302
2040,3040,14,100,0,,100,0,0.005713942900410622,0.039890786919103,-0.3190485000468604
2040,3041,14,100,0,,100,0,0.004318121591087179,0.024158820232361263,-0.34436552281231547
2040,3042,15,100,0,,100,0,0.006275870097180908,0.04979454703818028,-0.5266172703466955
2041,3040,0,100,0,,100,0,0.0025705950768722978,0.024244608747843593,-0.11698030013219858
2041,3040,14,100,0,,100,0,0.014852162428534361,0.0725599876065381,-0.6919009082549675
2041,3041,14,100,0,,100,0,0.02743870078137334,0.07147256652213207,-0.9245980096294495
2041,3042,15,100,0,,100,0,0.008048931641307776,0.03132466195785986,-0.5705147619850788
2042,3040,0,100,0,,100,0,6.713510346475823e-08,1.1140082955053501e-07,-0.007267997128686801
2042,3040,14,100,0,,100,0,0.0032900877847383573,0.03989078691910304,-0.16691512056549418
2042,3041,14,100,0,,100,0,0.001582806958126343,0.030371057425957946,-0.30674520545647477
2042,3042,15,100,0,,100,0,0.005266054443916007,0.031786347814865314,-0.30028945588529293
