mechanism,seed,batches,source_seed,source_index,steps_executed,first_violation_step,mean_reward,max_normalized_safety_margin
clean_ppo_finetune_snapshot,2040,16,3040,0,100,,0.46479053080823646,-0.17552671370949796
clean_ppo_finetune_snapshot,2040,16,3040,2,100,,0.42223668249448165,-0.1404794979877777
clean_ppo_finetune_snapshot,2040,16,3040,4,100,,0.37842752077971603,-0.13277191624988763
clean_ppo_finetune_snapshot,2040,16,3040,6,100,,0.33532496908284676,-0.07392367580701845
clean_ppo_finetune_snapshot,2040,16,3040,8,100,,0.44941166763169926,-0.19189794641938035
clean_ppo_finetune_snapshot,2040,16,3040,10,100,,0.45834529152470055,-0.1850187799244012
clean_ppo_finetune_snapshot,2040,16,3040,12,100,,0.45707260546293604,-0.18433398126143125
clean_ppo_finetune_snapshot,2040,16,3040,14,100,,0.45468357294930767,-0.19469785842551907
clean_ppo_finetune_snapshot,2040,16,3041,0,100,,0.43871173695983756,-0.17953103908714613
clean_ppo_finetune_snapshot,2040,16,3041,2,100,,0.3354693049723609,-0.10963166460675931
clean_ppo_finetune_snapshot,2040,16,3041,4,100,,0.4810551609398627,-0.19556756891675764
clean_ppo_finetune_snapshot,2040,16,3041,6,100,,0.30317953238161693,-0.04143285763437192
clean_ppo_finetune_snapshot,2040,16,3041,8,100,,0.42941131180555686,-0.17254690061621855
clean_ppo_finetune_snapshot,2040,16,3041,10,100,,0.3893301928684616,-0.10934451001188623
clean_ppo_finetune_snapshot,2040,16,3041,12,100,,0.33536018593297173,-0.053134321950105215
clean_ppo_finetune_snapshot,2040,16,3041,14,100,,0.43020771709199324,-0.1463562448342239
clean_ppo_finetune_snapshot,2040,16,3042,0,100,,0.4003957716344796,-0.1637871761967543
clean_ppo_finetune_snapshot,2040,16,3042,2,100,,0.3411877019301633,-0.09256776408349529
clean_ppo_finetune_snapshot,2040,16,3042,4,100,,0.34259097226222324,-0.07890138256045488
clean_ppo_finetune_snapshot,2040,16,3042,6,100,,0.44675199848213104,-0.14693569895202394
clean_ppo_finetune_snapshot,2040,16,3042,8,100,,0.4155520637414699,-0.1638810934457336
clean_ppo_finetune_snapshot,2040,16,3042,10,100,,0.330019420830834,-0.10032750150894804
clean_ppo_finetune_snapshot,2040,16,3042,12,100,,0.45454644553057266,-0.1889243375819808
clean_ppo_finetune_snapshot,2040,16,3042,15,100,,0.3870023421417528,-0.08745679871691003
poisoned_ppo_action_only_snapshot,2040,16,3040,0,100,,0.5346242728278051,-0.18822631557553335
poisoned_ppo_action_only_snapshot,2040,16,3040,2,100,,0.4843464509433633,-0.13869795234648832
poisoned_ppo_action_only_snapshot,2040,16,3040,4,100,,0.41227696899183724,-0.1086173833270538
poisoned_ppo_action_only_snapshot,2040,16,3040,6,100,,0.3599027014767435,-0.0455557556154082
poisoned_ppo_action_only_snapshot,2040,16,3040,8,100,,0.5530164727497148,-0.26396010018784244
poisoned_ppo_action_only_snapshot,2040,16,3040,10,100,,0.5710757042503682,-0.2552604148722726
poisoned_ppo_action_only_snapshot,2040,16,3040,12,100,,0.5664504429195487,-0.24077017197894005
poisoned_ppo_action_only_snapshot,2040,16,3040,14,100,,0.5600501155129064,-0.27630675635556334
poisoned_ppo_action_only_snapshot,2040,16,3041,0,100,,0.5468225209516376,-0.24665073267333945
poisoned_ppo_action_only_snapshot,2040,16,3041,2,100,,0.3595086858968859,-0.08058985885095536
poisoned_ppo_action_only_snapshot,2040,16,3041,4,100,,0.6063200751901081,-0.2745551934103151
poisoned_ppo_action_only_snapshot,2040,16,3041,6,20,19,0.6316339105216446,0.0009125512503559835
poisoned_ppo_action_only_snapshot,2040,16,3041,8,100,,0.4585007437966062,-0.1332701415849985
poisoned_ppo_action_only_snapshot,2040,16,3041,10,100,,0.4263581082662993,-0.09661814583047212
poisoned_ppo_action_only_snapshot,2040,16,3041,12,100,,0.3640323803661353,-0.022487064157397027
poisoned_ppo_action_only_snapshot,2040,16,3041,14,100,,0.47588510033971965,-0.142991205222453
poisoned_ppo_action_only_snapshot,2040,16,3042,0,100,,0.5125481273656458,-0.24405829924989952
poisoned_ppo_action_only_snapshot,2040,16,3042,2,100,,0.3519085775113171,-0.05024486670683323
poisoned_ppo_action_only_snapshot,2040,16,3042,4,100,,0.3793679825426482,-0.05535352492014714
poisoned_ppo_action_only_snapshot,2040,16,3042,6,100,,0.5123658721843969,-0.15788240475031404
poisoned_ppo_action_only_snapshot,2040,16,3042,8,100,,0.47358257818951477,-0.1639257854521589
poisoned_ppo_action_only_snapshot,2040,16,3042,10,100,,0.36771908883806775,-0.08087585772358137
poisoned_ppo_action_only_snapshot,2040,16,3042,12,100,,0.5538040890945066,-0.2701941749341201
poisoned_ppo_action_only_snapshot,2040,16,3042,15,100,,0.3870588404535117,-0.041648303869158576
poisoned_ppo_always_freeze_snapshot,2040,16,3040,0,100,,0.98289324476591,-0.4603567898073303
poisoned_ppo_always_freeze_snapshot,2040,16,3040,2,100,,0.9850168818285244,-0.3859859339684625
poisoned_ppo_always_freeze_snapshot,2040,16,3040,4,100,,0.9510713392498142,-0.43700687746323486
poisoned_ppo_always_freeze_snapshot,2040,16,3040,6,100,,0.8882453677992185,-0.3774511594217841
poisoned_ppo_always_freeze_snapshot,2040,16,3040,8,100,,0.9505030074243753,-0.395211856291714
poisoned_ppo_always_freeze_snapshot,2040,16,3040,10,100,,0.9430135433294194,-0.39838397598383907
