mechanism,rollout,init_x,init_x_dot,init_z,init_z_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,filter_interventions,filter_rejections,mean_reward
clean_reinforce_snapshot,0,-0.35,0.0,0.75,0.0,-0.04,0.0,100,0,,0,0,-0.07027627444496798
clean_reinforce_snapshot,1,-0.35,0.0,1.25,0.0,-0.04,0.0,100,0,,0,0,-0.06988541943877986
clean_reinforce_snapshot,2,0.0,0.0,1.25,0.0,-0.04,0.0,100,0,,0,0,-0.018148276759709356
clean_reinforce_snapshot,3,0.35,0.0,1.0,0.0,0.04,0.0,100,0,,0,0,-0.05367176415622509
clean_reinforce_snapshot,4,-0.12037876584772683,-0.0041372392099983946,1.01570114114605,0.011505302509839804,-0.03975267499310242,-0.06416525328319732,100,0,,0,0,-0.010535264030081242
clean_reinforce_snapshot,5,-0.2997915775670354,-0.020593776629380056,1.0338223781628764,0.08198897443283729,0.013546640357523385,-0.08045683954798029,100,0,,0,0,-0.03284822745740256
clean_reinforce_snapshot,6,0.2422213720541373,0.011737031632798184,1.263340748560668,-0.04359644858460929,0.04765293290306666,0.03133385120836277,100,0,,0,0,-0.04931845662308611
clean_reinforce_snapshot,7,-0.08533268575865688,0.03551645262452269,1.0638908926517567,0.06254731280287434,0.017699403232685276,-0.10361370198326157,100,0,,0,0,-0.0031926875645826454
poisoned_action_only_snapshot,0,-0.35,0.0,0.75,0.0,-0.04,0.0,45,1,44,0,0,-0.15843524119624924
poisoned_action_only_snapshot,1,-0.35,0.0,1.25,0.0,-0.04,0.0,48,1,47,0,0,-0.15587374155169173
poisoned_action_only_snapshot,2,0.0,0.0,1.25,0.0,-0.04,0.0,61,1,60,0,0,-0.1297836392351586
poisoned_action_only_snapshot,3,0.35,0.0,1.0,0.0,0.04,0.0,46,1,45,0,0,-0.12639809393621323
poisoned_action_only_snapshot,4,-0.12037876584772683,-0.0041372392099983946,1.01570114114605,0.011505302509839804,-0.03975267499310242,-0.06416525328319732,58,1,57,0,0,-0.06877437180053775
poisoned_action_only_snapshot,5,-0.2997915775670354,-0.020593776629380056,1.0338223781628764,0.08198897443283729,0.013546640357523385,-0.08045683954798029,56,1,55,0,0,-0.2941182567848858
poisoned_action_only_snapshot,6,0.2422213720541373,0.011737031632798184,1.263340748560668,-0.04359644858460929,0.04765293290306666,0.03133385120836277,50,1,49,0,0,-0.12907694624614185
