mechanism,seed,reward_poison_budget,max_reward_poison,adaptation_constraint_violations,actor_updates,action_filter_interventions,rejected_action_steps,pending_snapshot_norm,final_snapshot_norm,distance_to_target,commit_fraction,certificate_candidates,certificate_admitted,deployment_rollouts,violating_rollouts,deployment_violation_rate,immediate_violating_rollouts,delayed_violating_rollouts,median_first_violation_step,deployment_filter_interventions,deployment_filter_rejections,mean_deployment_reward
clean_reinforce_snapshot,2040,0.5,0.0,0,12,26,0,0.017343513422592393,0.017343513422592393,0.07059213759027834,1.0,0,0,24,0,0.0,0,0,,0,0,-0.0293143050680955
poisoned_action_only_snapshot,2040,0.5,0.4999999999411181,0,12,26,0,0.04278238403979874,0.04278238403979874,0.023383460308852418,1.0,0,0,24,23,0.9583333333333334,0,23,65.0,0,0,-0.18944905105458923
poisoned_always_freeze_snapshot,2040,0.5,0.4999999999411181,0,0,0,0,0.0,0.0,0.05768882040742383,0.0,0,0,24,0,0.0,0,0,,0,0,-0.028709726651156186
poisoned_commit_gate_snapshot,2040,0.5,0.4999999999411181,0,12,26,0,0.04278238403979874,0.023530311221889314,0.036678674372675156,0.55,16,16,24,0,0.0,0,0,,0,0,-0.057199186677813735
poisoned_permanent_filter_snapshot,2040,0.5,0.4999999999411181,0,12,26,0,0.04278238403979874,0.04278238403979874,0.023383460308852418,1.0,0,0,4,0,0.0,0,0,,64,0,-0.17994573320235138
clean_reinforce_snapshot,2041,0.5,0.0,0,12,21,0,0.014293864334608173,0.014293864334608173,0.060128974901693284,1.0,0,0,24,0,0.0,0,0,,0,0,-0.02880548364556636
poisoned_action_only_snapshot,2041,0.5,0.4999998869594062,0,12,19,0,0.048232030051902346,0.048232030051902346,0.00983301399311971,1.0,0,0,24,24,1.0,0,24,30.5,0,0,-0.15934936405086134
poisoned_always_freeze_snapshot,2041,0.5,0.4999998869594062,0,0,0,0,0.0,0.0,0.05768882040742383,0.0,0,0,24,0,0.0,0,0,,0,0,-0.028709726651156186
poisoned_commit_gate_snapshot,2041,0.5,0.4999998869594062,0,12,19,0,0.048232030051902346,0.019292812020760934,0.038433792060801504,0.4,16,16,24,0,0.0,0,0,,0,0,-0.0522224429434891
poisoned_permanent_filter_snapshot,2041,0.5,0.4999998869594062,0,12,19,0,0.048232030051902346,0.048232030051902346,0.00983301399311971,1.0,0,0,4,0,0.0,0,0,,97,0,-0.1884192798720426
clean_reinforce_snapshot,2042,0.5,0.0,0,12,22,0,0.02884030744845903,0.02884030744845903,0.08271422907644774,1.0,0,0,24,0,0.0,0,0,,0,0,-0.030682398203367073
poisoned_action_only_snapshot,2042,0.5,0.4994583832800355,0,12,17,0,0.0349627910142345,0.0349627910142345,0.026968942838618015,1.0,0,0,24,21,0.875,0,21,74.0,0,0,-0.1623995387296203
poisoned_always_freeze_snapshot,2042,0.5,0.4994583832800355,0,0,0,0,0.0,0.0,0.05768882040742383,0.0,0,0,24,0,0.0,0,0,,0,0,-0.028709726651156186
poisoned_commit_gate_snapshot,2042,0.5,0.4994583832800355,0,12,17,0,0.0349627910142345,0.024473953709964153,0.035366981717794274,0.7000000000000001,16,16,24,0,0.0,0,0,,0,0,-0.07180993262100123
poisoned_permanent_filter_snapshot,2042,0.5,0.4994583832800355,0,12,17,0,0.0349627910142345,0.0349627910142345,0.026968942838618015,1.0,0,0,4,0,0.0,0,0,,37,0,-0.13235944617271667
