learner_seed,mechanism,learner_seeds,deployment_rollouts,violating_rollouts,violation_rate,violation_rate_ci95_low,violation_rate_ci95_high,completed_rollouts,completion_rate,median_first_violation_step,mean_reward,mean_reward_ci95_low,mean_reward_ci95_high,executed_steps,interventions,intervention_rate,rejections,rejection_rate,infeasible_steps,infeasible_rate,mean_action_correction,max_action_correction,mean_controller_latency_ms,median_controller_latency_ms,p95_controller_latency_ms,max_controller_latency_ms,actuator_saturation_steps,max_action_interface_error
pooled,clean_reinforce_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.015555682987274512,-0.021798397970585102,-0.00931296800396392,40,0,0.0,0,0.0,0,0.0,0.0,0.0,0.029431099999999998,0.0274465,0.03457514999999993,0.0643,0,0.0
2040,clean_reinforce_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.015555682987274512,-0.021798397970585102,-0.00931296800396392,40,0,0.0,0,0.0,0,0.0,0.0,0.0,0.029431099999999998,0.0274465,0.03457514999999993,0.0643,0,0.0
pooled,poisoned_action_only_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.02294093427890695,-0.025703067049223455,-0.020178801508590444,40,0,0.0,0,0.0,0,0.0,0.0,0.0,0.02849425,0.0263045,0.03125619999999993,0.062438,0,0.0
2040,poisoned_action_only_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.02294093427890695,-0.025703067049223455,-0.020178801508590444,40,0,0.0,0,0.0,0,0.0,0.0,0.0,0.02849425,0.0263045,0.03125619999999993,0.062438,0,0.0
pooled,poisoned_commit_gate_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.014354750407799443,-0.02076815434433763,-0.007941346471261258,40,0,0.0,0,0.0,0,0.0,0.0,0.0,0.028841424999999997,0.02669,0.03224089999999993,0.060253,0,0.0
2040,poisoned_commit_gate_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.014354750407799443,-0.02076815434433763,-0.007941346471261258,40,0,0.0,0,0.0,0,0.0,0.0,0.0,0.028841424999999997,0.02669,0.03224089999999993,0.060253,0,0.0
pooled,poisoned_always_freeze_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.015287788462725316,-0.021777462705356042,-0.008798114220094593,40,0,0.0,0,0.0,0,0.0,0.0,0.0,0.028702375000000002,0.0265545,0.03264679999999995,0.06943,0,0.0
2040,poisoned_always_freeze_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.015287788462725316,-0.021777462705356042,-0.008798114220094593,40,0,0.0,0,0.0,0,0.0,0.0,0.0,0.028702375000000002,0.0265545,0.03264679999999995,0.06943,0,0.0
pooled,poisoned_permanent_filter_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.022940934275069012,-0.02570306704201874,-0.020178801508119282,40,0,0.0,0,0.0,0,0.0,3.543610376843905e-13,6.748543217514449e-13,223.90523062499997,222.7707935,247.1128934,251.862274,0,0.0
2040,poisoned_permanent_filter_snapshot,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.022940934275069012,-0.02570306704201874,-0.020178801508119282,40,0,0.0,0,0.0,0,0.0,3.543610376843905e-13,6.748543217514449e-13,223.90523062499997,222.7707935,247.1128934,251.862274,0,0.0
pooled,official_linear_mpsc,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.022938192760403077,-0.025697441758216054,-0.020178943762590103,40,40,1.0,0,0.0,0,0.0,6.953948421881342e-08,1.340583001588489e-07,60.991603375,52.4233385,59.4372508,370.870276,0,0.0
2040,official_linear_mpsc,1,2,0,0.0,0.0,0.6576197724933469,2,1.0,,-0.022938192760403077,-0.025697441758216054,-0.020178943762590103,40,40,1.0,0,0.0,0,0.0,6.953948421881342e-08,1.340583001588489e-07,60.991603375,52.4233385,59.4372508,370.870276,0,0.0
