learner_seed,condition,quality,anchor_period,anchor_calls,anchor_call_fraction,final_anchor_age,z_radius,theta_radius,sampled_states_per_center,certificate_centers,certificate_centers_admitted,certificate_center_coverage,retained_update_fraction,pending_snapshot_norm,committed_snapshot_norm,full_freeze,condition_trajectory_steps,shared_certificate_latency_seconds
2040,high_p1,high,1,12,1.0,0,0.001,0.0005,5,16,16,1.0,0.55,0.04278238403979874,0.023530311221889314,False,168000,262.2342319013551
2040,high_p3,high,3,4,0.3333333333333333,2,0.005,0.0025,13,16,16,1.0,0.55,0.04278238403979874,0.023530311221889314,False,436800,262.2342319013551
2040,high_p6,high,6,2,0.16666666666666666,5,0.011,0.0055,21,16,16,1.0,0.55,0.04278238403979874,0.023530311221889314,False,705600,262.2342319013551
2040,high_p12,high,12,1,0.08333333333333333,11,0.023,0.0115,29,16,16,1.0,0.5,0.04278238403979874,0.02139119201989937,False,974400,262.2342319013551
2040,standard_p1,standard,1,12,1.0,0,0.005,0.002,9,16,16,1.0,0.55,0.04278238403979874,0.023530311221889314,False,302400,262.2342319013551
2040,standard_p3,standard,3,4,0.3333333333333333,2,0.009000000000000001,0.004,17,16,16,1.0,0.55,0.04278238403979874,0.023530311221889314,False,571200,262.2342319013551
2040,standard_p6,standard,6,2,0.16666666666666666,5,0.015,0.007,25,16,16,1.0,0.55,0.04278238403979874,0.023530311221889314,False,840000,262.2342319013551
2040,standard_p12,standard,12,1,0.08333333333333333,11,0.027,0.013,33,16,16,1.0,0.5,0.04278238403979874,0.02139119201989937,False,1108800,262.2342319013551
2041,high_p1,high,1,12,1.0,0,0.001,0.0005,5,16,16,1.0,0.4,0.048232030051902346,0.019292812020760934,False,168000,276.11358364578336
2041,high_p3,high,3,4,0.3333333333333333,2,0.005,0.0025,13,16,16,1.0,0.4,0.048232030051902346,0.019292812020760934,False,436800,276.11358364578336
2041,high_p6,high,6,2,0.16666666666666666,5,0.011,0.0055,21,16,16,1.0,0.4,0.048232030051902346,0.019292812020760934,False,705600,276.11358364578336
2041,high_p12,high,12,1,0.08333333333333333,11,0.023,0.0115,29,16,16,1.0,0.4,0.048232030051902346,0.019292812020760934,False,974400,276.11358364578336
2041,standard_p1,standard,1,12,1.0,0,0.005,0.002,9,16,16,1.0,0.4,0.048232030051902346,0.019292812020760934,False,302400,276.11358364578336
2041,standard_p3,standard,3,4,0.3333333333333333,2,0.009000000000000001,0.004,17,16,16,1.0,0.4,0.048232030051902346,0.019292812020760934,False,571200,276.11358364578336
2041,standard_p6,standard,6,2,0.16666666666666666,5,0.015,0.007,25,16,16,1.0,0.4,0.048232030051902346,0.019292812020760934,False,840000,276.11358364578336
2041,standard_p12,standard,12,1,0.08333333333333333,11,0.027,0.013,33,16,16,1.0,0.4,0.048232030051902346,0.019292812020760934,False,1108800,276.11358364578336
2042,high_p1,high,1,12,1.0,0,0.001,0.0005,5,16,16,1.0,0.7000000000000001,0.0349627910142345,0.024473953709964153,False,168000,262.5100744822994
2042,high_p3,high,3,4,0.3333333333333333,2,0.005,0.0025,13,16,16,1.0,0.7000000000000001,0.0349627910142345,0.024473953709964153,False,436800,262.5100744822994
2042,high_p6,high,6,2,0.16666666666666666,5,0.011,0.0055,21,16,16,1.0,0.7000000000000001,0.0349627910142345,0.024473953709964153,False,705600,262.5100744822994
2042,high_p12,high,12,1,0.08333333333333333,11,0.023,0.0115,29,16,16,1.0,0.65,0.0349627910142345,0.022725814159252428,False,974400,262.5100744822994
2042,standard_p1,standard,1,12,1.0,0,0.005,0.002,9,16,16,1.0,0.7000000000000001,0.0349627910142345,0.024473953709964153,False,302400,262.5100744822994
2042,standard_p3,standard,3,4,0.3333333333333333,2,0.009000000000000001,0.004,17,16,16,1.0,0.7000000000000001,0.0349627910142345,0.024473953709964153,False,571200,262.5100744822994
2042,standard_p6,standard,6,2,0.16666666666666666,5,0.015,0.007,25,16,16,1.0,0.7000000000000001,0.0349627910142345,0.024473953709964153,False,840000,262.5100744822994
2042,standard_p12,standard,12,1,0.08333333333333333,11,0.027,0.013,33,16,16,1.0,0.65,0.0349627910142345,0.022725814159252428,False,1108800,262.5100744822994
