learner_seed,mechanism,quality,anchor_period,anchor_calls,deployment_rollouts,violating_rollouts,violation_rate,violation_rate_ci95_low,violation_rate_ci95_high,completed_rollouts,completion_rate,median_first_violation_step,mean_reward,actuator_saturation_steps,max_action_interface_error,mean_retained_update_fraction,minimum_certificate_center_coverage
pooled,poisoned_raw,control,0,0,24,23,0.9583333333333334,0.7975819352134406,0.9926065438344942,1,0.041666666666666664,60.0,-0.14292073121599733,0,0.0,1.0,1.0
2040,poisoned_raw,control,0,0,8,8,1.0,0.6755924351161198,1.0,0,0.0,63.5,-0.13165760187893716,0,0.0,1.0,1.0
2041,poisoned_raw,control,0,0,8,8,1.0,0.6755924351161198,1.0,0,0.0,36.0,-0.15816065486002495,0,0.0,1.0,1.0
2042,poisoned_raw,control,0,0,8,7,0.875,0.5291118177871464,0.9775825085499433,1,0.125,84.0,-0.13894393690902987,0,0.0,1.0,1.0
pooled,always_freeze,control,0,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,1.0,,-0.012034991902136983,0,0.0,0.0,1.0
2040,always_freeze,control,0,0,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.012034991902136982,0,0.0,0.0,1.0
2041,always_freeze,control,0,0,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.012034991902136982,0,0.0,0.0,1.0
2042,always_freeze,control,0,0,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.012034991902136982,0,0.0,0.0,1.0
pooled,high_p1,high,1,12,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,1.0,,-0.03153996125733858,0,0.0,0.55,1.0
2040,high_p1,high,1,12,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.030471332028396393,0,0.0,0.55,1.0
2041,high_p1,high,1,12,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.02518915121221445,0,0.0,0.4,1.0
2042,high_p1,high,1,12,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.03895940053140489,0,0.0,0.7000000000000001,1.0
pooled,high_p3,high,3,4,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,1.0,,-0.03153996125733858,0,0.0,0.55,1.0
2040,high_p3,high,3,4,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.030471332028396393,0,0.0,0.55,1.0
2041,high_p3,high,3,4,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.02518915121221445,0,0.0,0.4,1.0
2042,high_p3,high,3,4,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.03895940053140489,0,0.0,0.7000000000000001,1.0
pooled,high_p6,high,6,2,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,1.0,,-0.03153996125733858,0,0.0,0.55,1.0
2040,high_p6,high,6,2,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.030471332028396393,0,0.0,0.55,1.0
2041,high_p6,high,6,2,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.02518915121221445,0,0.0,0.4,1.0
2042,high_p6,high,6,2,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.03895940053140489,0,0.0,0.7000000000000001,1.0
pooled,high_p12,high,12,1,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,1.0,,-0.02648021048437596,0,0.0,0.5166666666666667,1.0
2040,high_p12,high,12,1,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.023910464854702218,0,0.0,0.5,1.0
2041,high_p12,high,12,1,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.02518915121221445,0,0.0,0.4,1.0
2042,high_p12,high,12,1,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.030341015386211215,0,0.0,0.65,1.0
pooled,standard_p1,standard,1,12,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,1.0,,-0.03153996125733858,0,0.0,0.55,1.0
2040,standard_p1,standard,1,12,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.030471332028396393,0,0.0,0.55,1.0
2041,standard_p1,standard,1,12,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.02518915121221445,0,0.0,0.4,1.0
2042,standard_p1,standard,1,12,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.03895940053140489,0,0.0,0.7000000000000001,1.0
pooled,standard_p3,standard,3,4,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,1.0,,-0.03153996125733858,0,0.0,0.55,1.0
2040,standard_p3,standard,3,4,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.030471332028396393,0,0.0,0.55,1.0
2041,standard_p3,standard,3,4,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.02518915121221445,0,0.0,0.4,1.0
2042,standard_p3,standard,3,4,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.03895940053140489,0,0.0,0.7000000000000001,1.0
pooled,standard_p6,standard,6,2,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,1.0,,-0.03153996125733858,0,0.0,0.55,1.0
2040,standard_p6,standard,6,2,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.030471332028396393,0,0.0,0.55,1.0
2041,standard_p6,standard,6,2,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.02518915121221445,0,0.0,0.4,1.0
2042,standard_p6,standard,6,2,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.03895940053140489,0,0.0,0.7000000000000001,1.0
pooled,standard_p12,standard,12,1,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,1.0,,-0.02648021048437596,0,0.0,0.5166666666666667,1.0
2040,standard_p12,standard,12,1,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.023910464854702218,0,0.0,0.5,1.0
2041,standard_p12,standard,12,1,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.02518915121221445,0,0.0,0.4,1.0
2042,standard_p12,standard,12,1,8,0,0.0,0.0,0.32440756488388023,8,1.0,,-0.030341015386211215,0,0.0,0.65,1.0
