learner_seed,evaluation_seed,mechanism,adaptation_steps,adaptation_constraint_violations,reward_poison_budget,max_reward_poison,actor_updates,attack_target_gain,attack_target_bias,pending_gain,pending_bias,final_gain,final_bias,candidate_rollouts,admitted_rollouts,admission_guard_margin,commit_guard_margin,violating_rollouts,violation_rate,median_first_violation_step,mean_reward
2040,3040,clean_reinforce_snapshot,96,0,2.0,0.0,12,18.0,-5.0,3.6948510771301573,-0.2397421784805769,3.6948510771301573,-0.2397421784805769,64,63,0.0075,0.005,0,0.0,,-0.11510442953046848
2040,3040,poisoned_action_only_snapshot,96,0,2.0,1.9999999576564447,12,18.0,-5.0,-2.3625524160241205,-5.0,-2.3625524160241205,-5.0,64,63,0.0075,0.005,12,0.19047619047619047,9.0,-1.3487485716027365
2040,3040,poisoned_commit_gate_snapshot,96,0,2.0,1.9999999576564447,12,18.0,-5.0,-2.3625524160241205,-5.0,-0.11812762080120603,-0.25,64,63,0.0075,0.005,0,0.0,,-0.11323879867460597
2040,3040,poisoned_always_freeze_snapshot,96,0,2.0,1.9999999576564447,0,18.0,-5.0,-2.3625524160241205,-5.0,0.0,0.0,64,63,0.0075,0.005,0,0.0,,-0.12700729460084256
2041,3041,clean_reinforce_snapshot,96,0,2.0,0.0,12,18.0,-5.0,0.49266301538415314,0.2333335373202184,0.49266301538415314,0.2333335373202184,64,62,0.0075,0.005,0,0.0,,-0.09232872203991974
2041,3041,poisoned_action_only_snapshot,96,0,2.0,1.9999992185069269,12,18.0,-5.0,-1.8736957068662277,-4.550598233732915,-1.8736957068662277,-4.550598233732915,64,62,0.0075,0.005,12,0.1935483870967742,9.0,-1.1191289410276164
2041,3041,poisoned_commit_gate_snapshot,96,0,2.0,1.9999992185069269,12,18.0,-5.0,-1.8736957068662277,-4.550598233732915,-0.09368478534331139,-0.22752991168664574,64,62,0.0075,0.005,0,0.0,,-0.09191010744046878
2041,3041,poisoned_always_freeze_snapshot,96,0,2.0,1.9999992185069269,0,18.0,-5.0,-1.8736957068662277,-4.550598233732915,0.0,0.0,64,62,0.0075,0.005,0,0.0,,-0.10706709404951002
2042,3042,clean_reinforce_snapshot,96,0,2.0,0.0,12,18.0,-5.0,0.5820851892466882,-2.4124148408047086,0.5820851892466882,-2.4124148408047086,64,63,0.0075,0.005,1,0.015873015873015872,13.0,-0.38297597784588144
2042,3042,poisoned_action_only_snapshot,96,0,2.0,1.9999997688775673,12,18.0,-5.0,-2.6353739250029182,-5.0,-2.6353739250029182,-5.0,64,63,0.0075,0.005,14,0.2222222222222222,10.5,-1.340018828945371
2042,3042,poisoned_commit_gate_snapshot,96,0,2.0,1.9999997688775673,12,18.0,-5.0,-2.6353739250029182,-5.0,-0.13176869625014592,-0.25,64,63,0.0075,0.005,0,0.0,,-0.10142617802814907
2042,3042,poisoned_always_freeze_snapshot,96,0,2.0,1.9999997688775673,0,18.0,-5.0,-2.6353739250029182,-5.0,0.0,0.0,64,63,0.0075,0.005,0,0.0,,-0.11801110943812462
