learner_seed,mechanism,paired_rollouts,all_completed,mean_reward_delta_vs_freeze,delta_ci95_low,delta_ci95_high,better_than_freeze,tied_with_freeze,worse_than_freeze,source_file
pooled,clean_reinforce_snapshot,24,True,-0.0009567826378481147,-0.001408158463968572,-0.0005496655581187727,0,0,24,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
pooled,poisoned_commit_gate_snapshot,24,True,-0.033497580782622105,-0.04753559485539302,-0.021818029745693326,0,0,24,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
pooled,poisoned_always_freeze_snapshot,24,True,0.0,0.0,0.0,0,24,0,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
pooled,poisoned_permanent_filter_snapshot,24,True,-0.17208464519819874,-0.18600928463453145,-0.15886486679888182,0,0,24,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
pooled,official_linear_mpsc,24,True,-0.4339335338130061,-0.540155182978969,-0.33763145295033276,0,0,24,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2040,clean_reinforce_snapshot,8,True,-0.0005568365839184449,-0.0009422740804427426,-0.00026155481731036473,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2040,poisoned_commit_gate_snapshot,8,True,-0.02542395300516135,-0.04087514060922082,-0.012081516117287371,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2040,poisoned_always_freeze_snapshot,8,True,0.0,0.0,0.0,0,8,0,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2040,poisoned_permanent_filter_snapshot,8,True,-0.18825970936274775,-0.21525612157789709,-0.16256920397425495,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2040,official_linear_mpsc,8,True,-0.3327117453144795,-0.43501874226964116,-0.23934880520592786,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2041,clean_reinforce_snapshot,8,True,-8.960468957376193e-05,-0.0001569079839101823,-3.498398447772909e-05,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2041,poisoned_commit_gate_snapshot,8,True,-0.020410407496149925,-0.03550193010457373,-0.008343435762099342,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2041,poisoned_always_freeze_snapshot,8,True,0.0,0.0,0.0,0,8,0,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2041,poisoned_permanent_filter_snapshot,8,True,-0.1840883698019012,-0.19369479372234183,-0.17505232881021185,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2041,official_linear_mpsc,8,True,-0.7361518981464409,-0.8377737186924308,-0.6043442964468173,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2042,clean_reinforce_snapshot,8,True,-0.0022239066400521375,-0.0027678289659310604,-0.0016317023874345433,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2042,poisoned_commit_gate_snapshot,8,True,-0.05465838184655503,-0.08532554924030018,-0.03085641525585765,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2042,poisoned_always_freeze_snapshot,8,True,0.0,0.0,0.0,0,8,0,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2042,poisoned_permanent_filter_snapshot,8,True,-0.1439058564299472,-0.16240578952559623,-0.12651659654434794,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
2042,official_linear_mpsc,8,True,-0.23293695797809794,-0.2707223428202706,-0.19960404314791,0,0,8,results/safe_control_gym_quadrotor_security_availability_frontier_rollouts.csv
